Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,4.01E-22,0,4.01E-22
0.1,8.02E-22,0.1,8.02E-22
0.2,8.02E-22,0.2,8.03E-22
0.3,8.03E-22,0.3,8.03E-22
0.4,8.03E-22,0.4,8.04E-22
0.5,8.04E-22,0.5,8.04E-22
0.6,8.05E-22,0.6,8.05E-22
0.7,8.06E-22,0.7,8.06E-22
0.8,8.07E-22,0.8,8.08E-22
0.9,8.09E-22,0.9,8.09E-22
1,8.10E-22,1,8.11E-22
1.1,8.12E-22,1.1,8.12E-22
1.2,8.14E-22,1.2,8.14E-22
1.3,8.16E-22,1.3,8.16E-22
1.4,8.18E-22,1.4,8.19E-22
1.5,8.21E-22,1.5,8.21E-22
1.6,8.23E-22,1.6,8.23E-22
1.7,8.26E-22,1.7,8.26E-22
1.8,8.29E-22,1.8,8.29E-22
1.9,8.32E-22,1.9,8.32E-22
2,8.35E-22,2,8.35E-22
2.1,8.39E-22,2.1,8.39E-22
2.2,8.42E-22,2.2,8.42E-22
2.3,8.46E-22,2.3,8.46E-22
2.4,8.50E-22,2.4,8.50E-22
2.5,8.54E-22,2.5,8.54E-22
2.6,8.58E-22,2.6,8.58E-22
2.7,8.63E-22,2.7,8.63E-22
2.8,8.67E-22,2.8,8.67E-22
2.9,8.72E-22,2.9,8.72E-22
3,8.77E-22,3,8.77E-22
3.1,8.82E-22,3.1,8.82E-22
3.2,8.88E-22,3.2,8.88E-22
3.3,8.93E-22,3.3,8.93E-22
3.4,8.99E-22,3.4,8.99E-22
3.5,9.04E-22,3.5,9.04E-22
3.6,9.10E-22,3.6,9.10E-22
3.7,9.17E-22,3.7,9.17E-22
3.8,9.23E-22,3.8,9.23E-22
3.9,9.29E-22,3.9,9.29E-22
4,9.36E-22,4,9.36E-22
4.1,9.43E-22,4.1,9.43E-22
4.2,9.50E-22,4.2,9.50E-22
4.3,9.57E-22,4.3,9.57E-22
4.4,9.65E-22,4.4,9.65E-22
4.5,9.72E-22,4.5,9.72E-22
4.6,9.80E-22,4.6,9.80E-22
4.7,9.88E-22,4.7,9.88E-22
4.8,9.96E-22,4.8,9.96E-22
4.9,1.00E-21,4.9,1.00E-21
5,1.01E-21,5,1.01E-21
5.1,1.02E-21,5.1,1.02E-21
5.2,1.03E-21,5.2,1.03E-21
5.3,1.04E-21,5.3,1.04E-21
5.4,1.05E-21,5.4,1.05E-21
5.5,1.06E-21,5.5,1.06E-21
5.6,1.07E-21,5.6,1.07E-21
5.7,1.08E-21,5.7,1.08E-21
5.8,1.09E-21,5.8,1.09E-21
