Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,8.88E-22,0,8.86E-22
0.1,1.78E-21,0.1,1.77E-21
0.2,1.78E-21,0.2,1.77E-21
0.3,1.78E-21,0.3,1.77E-21
0.4,1.78E-21,0.4,1.77E-21
0.5,1.78E-21,0.5,1.77E-21
0.6,1.78E-21,0.6,1.77E-21
0.7,1.78E-21,0.7,1.78E-21
0.8,1.78E-21,0.8,1.78E-21
0.9,1.78E-21,0.9,1.78E-21
1,1.78E-21,1,1.78E-21
1.1,1.78E-21,1.1,1.78E-21
1.2,1.79E-21,1.2,1.78E-21
1.3,1.79E-21,1.3,1.78E-21
1.4,1.79E-21,1.4,1.79E-21
1.5,1.79E-21,1.5,1.79E-21
1.6,1.79E-21,1.6,1.79E-21
1.7,1.80E-21,1.7,1.79E-21
1.8,1.80E-21,1.8,1.79E-21
1.9,1.80E-21,1.9,1.80E-21
2,1.80E-21,2,1.80E-21
2.1,1.81E-21,2.1,1.80E-21
2.2,1.81E-21,2.2,1.80E-21
2.3,1.81E-21,2.3,1.81E-21
2.4,1.81E-21,2.4,1.81E-21
2.5,1.82E-21,2.5,1.81E-21
2.6,1.82E-21,2.6,1.82E-21
2.7,1.83E-21,2.7,1.82E-21
2.8,1.83E-21,2.8,1.82E-21
2.9,1.83E-21,2.9,1.83E-21
3,1.84E-21,3,1.83E-21
3.1,1.84E-21,3.1,1.84E-21
3.2,1.84E-21,3.2,1.84E-21
3.3,1.85E-21,3.3,1.85E-21
3.4,1.85E-21,3.4,1.85E-21
3.5,1.86E-21,3.5,1.85E-21
3.6,1.86E-21,3.6,1.86E-21
3.7,1.87E-21,3.7,1.86E-21
3.8,1.87E-21,3.8,1.87E-21
3.9,1.88E-21,3.9,1.87E-21
4,1.88E-21,4,1.88E-21
4.1,1.89E-21,4.1,1.89E-21
4.2,1.89E-21,4.2,1.89E-21
4.3,1.90E-21,4.3,1.90E-21
4.4,1.91E-21,4.4,1.90E-21
4.5,1.91E-21,4.5,1.91E-21
4.6,1.92E-21,4.6,1.91E-21
4.7,1.93E-21,4.7,1.92E-21
4.8,1.93E-21,4.8,1.93E-21
4.9,1.94E-21,4.9,1.93E-21
5,1.95E-21,5,1.94E-21
5.1,1.95E-21,5.1,1.95E-21
5.2,1.96E-21,5.2,1.96E-21
5.3,1.97E-21,5.3,1.96E-21
5.4,1.97E-21,5.4,1.97E-21
5.5,1.98E-21,5.5,1.98E-21
5.6,1.99E-21,5.6,1.98E-21
5.7,2.00E-21,5.7,1.99E-21
5.8,2.01E-21,5.8,2.00E-21
5.9,2.01E-21,5.9,2.01E-21
6,2.02E-21,6,2.02E-21
6.1,2.03E-21,6.1,2.03E-21
6.2,2.04E-21,6.2,2.03E-21
6.3,2.05E-21,6.3,2.04E-21
6.4,2.06E-21,6.4,2.05E-21
6.5,2.07E-21,6.5,2.06E-21
6.6,2.07E-21,6.6,2.07E-21
6.7,2.08E-21,6.7,2.08E-21
6.8,2.09E-21,6.8,2.09E-21
6.9,2.10E-21,6.9,2.10E-21
7,2.11E-21,7,2.11E-21
7.1,2.12E-21,7.1,2.12E-21
7.2,2.13E-21,7.2,2.13E-21
7.3,2.14E-21,7.3,2.14E-21
7.4,2.15E-21,7.4,2.15E-21
7.5,2.16E-21,7.5,2.16E-21
7.6,2.18E-21,7.6,2.17E-21
7.7,2.19E-21,7.7,2.18E-21
7.8,2.20E-21,7.8,2.19E-21
7.9,2.21E-21,7.9,2.20E-21
8,2.22E-21,8,2.22E-21
8.1,2.23E-21,8.1,2.23E-21
8.2,2.24E-21,8.2,2.24E-21
8.3,2.26E-21,8.3,2.25E-21
8.4,2.27E-21,8.4,2.26E-21
8.5,2.28E-21,8.5,2.28E-21
8.6,2.29E-21,8.6,2.29E-21
8.7,2.31E-21,8.7,2.30E-21
8.8,2.32E-21,8.8,2.31E-21
8.9,2.33E-21,8.9,2.33E-21
9,2.35E-21,9,2.34E-21
9.1,2.36E-21,9.1,2.35E-21
9.2,2.37E-21,9.2,2.37E-21
9.3,2.39E-21,9.3,2.38E-21
9.4,2.40E-21,9.4,2.40E-21
9.5,2.41E-21,9.5,2.41E-21
9.6,2.43E-21,9.6,2.42E-21
9.7,2.44E-21,9.7,2.44E-21
9.8,2.46E-21,9.8,2.45E-21
9.9,2.47E-21,9.9,2.47E-21
10,2.49E-21,10,2.48E-21
10.1,2.50E-21,10.1,2.50E-21
10.2,2.52E-21,10.2,2.51E-21
10.3,2.54E-21,10.3,2.53E-21
10.4,2.55E-21,10.4,2.55E-21
10.5,2.57E-21,10.5,2.56E-21
10.6,2.58E-21,10.6,2.58E-21
10.7,2.60E-21,10.7,2.60E-21
10.8,2.62E-21,10.8,2.61E-21
10.9,2.63E-21,10.9,2.63E-21
11,2.65E-21,11,2.65E-21
11.1,2.67E-21,11.1,2.66E-21
11.2,2.69E-21,11.2,2.68E-21
11.3,2.70E-21,11.3,2.70E-21
11.4,2.72E-21,11.4,2.72E-21
11.5,2.74E-21,11.5,2.73E-21
11.6,2.76E-21,11.6,2.75E-21
11.7,2.78E-21,11.7,2.77E-21
11.8,2.80E-21,11.8,2.79E-21
11.9,2.82E-21,11.9,2.81E-21
12,2.83E-21,12,2.83E-21
12.1,2.85E-21,12.1,2.85E-21
12.2,2.87E-21,12.2,2.87E-21
12.3,2.89E-21,12.3,2.89E-21
12.4,2.91E-21,12.4,2.91E-21
12.5,2.93E-21,12.5,2.93E-21
12.6,2.96E-21,12.6,2.95E-21
12.7,2.98E-21,12.7,2.97E-21
12.8,3.00E-21,12.8,2.99E-21
12.9,3.02E-21,12.9,3.01E-21
13,3.04E-21,13,3.04E-21
13.1,3.06E-21,13.1,3.06E-21
13.2,3.08E-21,13.2,3.08E-21
13.3,3.11E-21,13.3,3.10E-21
13.4,3.13E-21,13.4,3.12E-21
13.5,3.15E-21,13.5,3.15E-21
13.6,3.18E-21,13.6,3.17E-21
13.7,3.20E-21,13.7,3.19E-21
13.8,3.22E-21,13.8,3.22E-21
13.9,3.25E-21,13.9,3.24E-21
14,3.27E-21,14,3.27E-21
14.1,3.30E-21,14.1,3.29E-21
14.2,3.32E-21,14.2,3.31E-21
14.3,3.35E-21,14.3,3.34E-21
14.4,3.37E-21,14.4,3.37E-21
14.5,3.40E-21,14.5,3.39E-21
14.6,3.42E-21,14.6,3.42E-21
14.7,3.45E-21,14.7,3.44E-21
14.8,3.48E-21,14.8,3.47E-21
14.9,3.50E-21,14.9,3.50E-21
15,3.53E-21,15,3.52E-21
15.1,3.56E-21,15.1,3.55E-21
15.2,3.58E-21,15.2,3.58E-21
15.3,3.61E-21,15.3,3.61E-21
15.4,3.64E-21,15.4,3.63E-21
15.5,3.67E-21,15.5,3.66E-21
15.6,3.70E-21,15.6,3.69E-21
15.7,3.73E-21,15.7,3.72E-21
15.8,3.76E-21,15.8,3.75E-21
15.9,3.79E-21,15.9,3.78E-21
16,3.82E-21,16,3.81E-21
16.1,3.85E-21,16.1,3.84E-21
16.2,3.88E-21,16.2,3.87E-21
16.3,3.91E-21,16.3,3.90E-21
16.4,3.94E-21,16.4,3.93E-21
16.5,3.97E-21,16.5,3.97E-21
16.6,4.00E-21,16.6,4.00E-21
16.7,4.04E-21,16.7,4.03E-21
16.8,4.07E-21,16.8,4.06E-21
16.9,4.10E-21,16.9,4.10E-21
17,4.14E-21,17,4.13E-21
17.1,4.17E-21,17.1,4.16E-21
17.2,4.20E-21,17.2,4.20E-21
17.3,4.24E-21,17.3,4.23E-21
17.4,4.27E-21,17.4,4.27E-21
17.5,4.31E-21,17.5,4.30E-21
17.6,4.34E-21,17.6,4.34E-21
17.7,4.38E-21,17.7,4.37E-21
17.8,4.42E-21,17.8,4.41E-21
17.9,4.45E-21,17.9,4.45E-21
18,4.49E-21,18,4.48E-21
