Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,8.93E-24,0,9.06E-24
0.1,1.79E-23,0.1,1.82E-23
0.2,1.81E-23,0.2,1.83E-23
0.3,1.83E-23,0.3,1.86E-23
0.4,1.87E-23,0.4,1.90E-23
0.5,1.92E-23,0.5,1.95E-23
0.6,1.98E-23,0.6,2.00E-23
0.7,2.05E-23,0.7,2.07E-23
0.8,2.13E-23,0.8,2.15E-23
0.9,2.22E-23,0.9,2.25E-23
1,2.32E-23,1,2.35E-23
1.1,2.44E-23,1.1,2.46E-23
1.2,2.56E-23,1.2,2.58E-23
1.3,2.69E-23,1.3,2.72E-23
1.4,2.84E-23,1.4,2.86E-23
1.5,3.00E-23,1.5,3.02E-23
1.6,3.16E-23,1.6,3.19E-23
1.7,3.34E-23,1.7,3.36E-23
1.8,3.53E-23,1.8,3.55E-23
1.9,3.73E-23,1.9,3.75E-23
2,3.94E-23,2,3.96E-23
2.1,4.16E-23,2.1,4.18E-23
2.2,4.39E-23,2.2,4.41E-23
2.3,4.63E-23,2.3,4.66E-23
2.4,4.89E-23,2.4,4.91E-23
2.5,5.15E-23,2.5,5.18E-23
2.6,5.43E-23,2.6,5.45E-23
2.7,5.72E-23,2.7,5.74E-23
2.8,6.02E-23,2.8,6.04E-23
2.9,6.32E-23,2.9,6.35E-23
3,6.65E-23,3,6.67E-23
3.1,6.98E-23,3.1,7.00E-23
3.2,7.32E-23,3.2,7.34E-23
3.3,7.67E-23,3.3,7.69E-23
3.4,8.04E-23,3.4,8.06E-23
3.5,8.42E-23,3.5,8.43E-23
3.6,8.80E-23,3.6,8.82E-23
3.7,9.20E-23,3.7,9.22E-23
3.8,9.61E-23,3.8,9.63E-23
3.9,1.00E-22,3.9,1.01E-22
4,1.05E-22,4,1.05E-22
4.1,1.09E-22,4.1,1.09E-22
4.2,1.14E-22,4.2,1.14E-22
