Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.99E-21,0,2.99E-21
0.1,5.98E-21,0.1,5.99E-21
0.2,5.98E-21,0.2,5.99E-21
0.3,5.98E-21,0.3,5.99E-21
0.4,5.98E-21,0.4,5.99E-21
0.5,5.98E-21,0.5,5.99E-21
0.6,5.99E-21,0.6,5.99E-21
0.7,5.99E-21,0.7,5.99E-21
0.8,5.99E-21,0.8,6.00E-21
0.9,5.99E-21,0.9,6.00E-21
1,5.99E-21,1,6.00E-21
1.1,5.99E-21,1.1,6.00E-21
1.2,5.99E-21,1.2,6.00E-21
1.3,6.00E-21,1.3,6.00E-21
1.4,6.00E-21,1.4,6.01E-21
1.5,6.00E-21,1.5,6.01E-21
1.6,6.00E-21,1.6,6.01E-21
1.7,6.01E-21,1.7,6.02E-21
1.8,6.01E-21,1.8,6.02E-21
1.9,6.01E-21,1.9,6.02E-21
2,6.02E-21,2,6.02E-21
2.1,6.02E-21,2.1,6.03E-21
2.2,6.02E-21,2.2,6.03E-21
2.3,6.03E-21,2.3,6.04E-21
2.4,6.03E-21,2.4,6.04E-21
2.5,6.04E-21,2.5,6.04E-21
2.6,6.04E-21,2.6,6.05E-21
2.7,6.05E-21,2.7,6.05E-21
2.8,6.05E-21,2.8,6.06E-21
2.9,6.06E-21,2.9,6.06E-21
3,6.06E-21,3,6.07E-21
3.1,6.07E-21,3.1,6.07E-21
3.2,6.07E-21,3.2,6.08E-21
3.3,6.08E-21,3.3,6.09E-21
3.4,6.08E-21,3.4,6.09E-21
3.5,6.09E-21,3.5,6.10E-21
3.6,6.10E-21,3.6,6.10E-21
3.7,6.10E-21,3.7,6.11E-21
3.8,6.11E-21,3.8,6.12E-21
3.9,6.12E-21,3.9,6.12E-21
4,6.12E-21,4,6.13E-21
4.1,6.13E-21,4.1,6.14E-21
4.2,6.14E-21,4.2,6.15E-21
4.3,6.15E-21,4.3,6.15E-21
4.4,6.15E-21,4.4,6.16E-21
4.5,6.16E-21,4.5,6.17E-21
4.6,6.17E-21,4.6,6.18E-21
4.7,6.18E-21,4.7,6.19E-21
4.8,6.19E-21,4.8,6.19E-21
4.9,6.20E-21,4.9,6.20E-21
5,6.20E-21,5,6.21E-21
