Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.95E-21,0,1.95E-21
0.1,3.89E-21,0.1,3.90E-21
0.2,3.89E-21,0.2,3.90E-21
0.3,3.90E-21,0.3,3.90E-21
0.4,3.90E-21,0.4,3.90E-21
0.5,3.90E-21,0.5,3.90E-21
0.6,3.90E-21,0.6,3.90E-21
0.7,3.90E-21,0.7,3.90E-21
0.8,3.90E-21,0.8,3.90E-21
0.9,3.90E-21,0.9,3.91E-21
1,3.90E-21,1,3.91E-21
1.1,3.90E-21,1.1,3.91E-21
1.2,3.90E-21,1.2,3.91E-21
1.3,3.91E-21,1.3,3.91E-21
1.4,3.91E-21,1.4,3.91E-21
1.5,3.91E-21,1.5,3.92E-21
1.6,3.91E-21,1.6,3.92E-21
1.7,3.91E-21,1.7,3.92E-21
1.8,3.92E-21,1.8,3.92E-21
1.9,3.92E-21,1.9,3.93E-21
2,3.92E-21,2,3.93E-21
2.1,3.92E-21,2.1,3.93E-21
2.2,3.93E-21,2.2,3.93E-21
2.3,3.93E-21,2.3,3.94E-21
2.4,3.93E-21,2.4,3.94E-21
2.5,3.94E-21,2.5,3.94E-21
2.6,3.94E-21,2.6,3.95E-21
2.7,3.94E-21,2.7,3.95E-21
2.8,3.95E-21,2.8,3.95E-21
2.9,3.95E-21,2.9,3.96E-21
3,3.96E-21,3,3.96E-21
3.1,3.96E-21,3.1,3.97E-21
3.2,3.96E-21,3.2,3.97E-21
3.3,3.97E-21,3.3,3.98E-21
3.4,3.97E-21,3.4,3.98E-21
3.5,3.98E-21,3.5,3.99E-21
3.6,3.98E-21,3.6,3.99E-21
3.7,3.99E-21,3.7,4.00E-21
3.8,3.99E-21,3.8,4.00E-21
3.9,4.00E-21,3.9,4.01E-21
4,4.00E-21,4,4.01E-21
4.1,4.01E-21,4.1,4.02E-21
4.2,4.02E-21,4.2,4.02E-21
4.3,4.02E-21,4.3,4.03E-21
4.4,4.03E-21,4.4,4.03E-21
4.5,4.03E-21,4.5,4.04E-21
4.6,4.04E-21,4.6,4.05E-21
4.7,4.05E-21,4.7,4.05E-21
4.8,4.05E-21,4.8,4.06E-21
4.9,4.06E-21,4.9,4.07E-21
5,4.07E-21,5,4.07E-21
5.1,4.08E-21,5.1,4.08E-21
5.2,4.08E-21,5.2,4.09E-21
5.3,4.09E-21,5.3,4.10E-21
5.4,4.10E-21,5.4,4.10E-21
5.5,4.11E-21,5.5,4.11E-21
5.6,4.11E-21,5.6,4.12E-21
5.7,4.12E-21,5.7,4.13E-21
5.8,4.13E-21,5.8,4.14E-21
5.9,4.14E-21,5.9,4.14E-21
6,4.15E-21,6,4.15E-21
6.1,4.16E-21,6.1,4.16E-21
6.2,4.16E-21,6.2,4.17E-21
6.3,4.17E-21,6.3,4.18E-21
6.4,4.18E-21,6.4,4.19E-21
6.5,4.19E-21,6.5,4.20E-21
6.6,4.20E-21,6.6,4.21E-21
6.7,4.21E-21,6.7,4.22E-21
6.8,4.22E-21,6.8,4.23E-21
6.9,4.23E-21,6.9,4.24E-21
7,4.24E-21,7,4.25E-21
7.1,4.25E-21,7.1,4.26E-21
7.2,4.26E-21,7.2,4.27E-21
7.3,4.27E-21,7.3,4.28E-21
7.4,4.28E-21,7.4,4.29E-21
7.5,4.29E-21,7.5,4.30E-21
7.6,4.31E-21,7.6,4.31E-21
7.7,4.32E-21,7.7,4.32E-21
7.8,4.33E-21,7.8,4.34E-21
7.9,4.34E-21,7.9,4.35E-21
8,4.35E-21,8,4.36E-21
8.1,4.36E-21,8.1,4.37E-21
8.2,4.38E-21,8.2,4.38E-21
8.3,4.39E-21,8.3,4.40E-21
8.4,4.40E-21,8.4,4.41E-21
8.5,4.41E-21,8.5,4.42E-21
8.6,4.43E-21,8.6,4.43E-21
8.7,4.44E-21,8.7,4.45E-21
8.8,4.45E-21,8.8,4.46E-21
8.9,4.47E-21,8.9,4.47E-21
9,4.48E-21,9,4.49E-21
9.1,4.50E-21,9.1,4.50E-21
9.2,4.51E-21,9.2,4.52E-21
9.3,4.52E-21,9.3,4.53E-21
9.4,4.54E-21,9.4,4.55E-21
9.5,4.55E-21,9.5,4.56E-21
9.6,4.57E-21,9.6,4.57E-21
9.7,4.58E-21,9.7,4.59E-21
9.8,4.60E-21,9.8,4.61E-21
9.9,4.61E-21,9.9,4.62E-21
10,4.63E-21,10,4.64E-21
10.1,4.65E-21,10.1,4.65E-21
10.2,4.66E-21,10.2,4.67E-21
10.3,4.68E-21,10.3,4.69E-21
10.4,4.69E-21,10.4,4.70E-21
10.5,4.71E-21,10.5,4.72E-21
10.6,4.73E-21,10.6,4.74E-21
10.7,4.75E-21,10.7,4.75E-21
10.8,4.76E-21,10.8,4.77E-21
10.9,4.78E-21,10.9,4.79E-21
11,4.80E-21,11,4.81E-21
11.1,4.82E-21,11.1,4.82E-21
11.2,4.83E-21,11.2,4.84E-21
11.3,4.85E-21,11.3,4.86E-21
11.4,4.87E-21,11.4,4.88E-21
11.5,4.89E-21,11.5,4.90E-21
11.6,4.91E-21,11.6,4.92E-21
11.7,4.93E-21,11.7,4.94E-21
11.8,4.95E-21,11.8,4.96E-21
11.9,4.97E-21,11.9,4.98E-21
12,4.99E-21,12,5.00E-21
12.1,5.01E-21,12.1,5.02E-21
12.2,5.03E-21,12.2,5.04E-21
12.3,5.05E-21,12.3,5.06E-21
12.4,5.07E-21,12.4,5.08E-21
12.5,5.09E-21,12.5,5.10E-21
12.6,5.11E-21,12.6,5.12E-21
12.7,5.14E-21,12.7,5.14E-21
12.8,5.16E-21,12.8,5.17E-21
12.9,5.18E-21,12.9,5.19E-21
13,5.20E-21,13,5.21E-21
13.1,5.23E-21,13.1,5.23E-21
13.2,5.25E-21,13.2,5.26E-21
13.3,5.27E-21,13.3,5.28E-21
13.4,5.30E-21,13.4,5.30E-21
13.5,5.32E-21,13.5,5.33E-21
13.6,5.34E-21,13.6,5.35E-21
13.7,5.37E-21,13.7,5.38E-21
13.8,5.39E-21,13.8,5.40E-21
13.9,5.42E-21,13.9,5.43E-21
14,5.44E-21,14,5.45E-21
14.1,5.47E-21,14.1,5.48E-21
