Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
14.5,4.38E-23,14.5,4.40E-23
14.6,4.42E-23,14.6,4.44E-23
14.7,4.45E-23,14.7,4.47E-23
14.8,4.49E-23,14.8,4.51E-23
14.9,4.52E-23,14.9,4.54E-23
15,4.56E-23,15,4.58E-23
15.1,4.59E-23,15.1,4.61E-23
15.2,4.63E-23,15.2,4.65E-23
15.3,4.67E-23,15.3,4.69E-23
15.4,4.70E-23,15.4,4.72E-23
15.5,4.74E-23,15.5,4.76E-23
15.6,4.78E-23,15.6,4.80E-23
15.7,4.82E-23,15.7,4.84E-23
15.8,4.86E-23,15.8,4.88E-23
15.9,4.90E-23,15.9,4.92E-23
16,4.94E-23,16,4.96E-23
16.1,4.98E-23,16.1,5.00E-23
16.2,5.02E-23,16.2,5.04E-23
16.3,5.07E-23,16.3,5.09E-23
16.4,5.11E-23,16.4,5.13E-23
16.5,5.15E-23,16.5,5.17E-23
16.6,5.20E-23,16.6,5.22E-23
16.7,5.24E-23,16.7,5.26E-23
16.8,5.29E-23,16.8,5.31E-23
16.9,5.33E-23,16.9,5.35E-23
17,5.38E-23,17,5.40E-23
17.1,5.42E-23,17.1,5.45E-23
17.2,5.47E-23,17.2,5.49E-23
17.3,5.52E-23,17.3,5.54E-23
17.4,5.57E-23,17.4,5.59E-23
17.5,5.62E-23,17.5,5.64E-23
17.6,5.67E-23,17.6,5.69E-23
17.7,5.72E-23,17.7,5.74E-23
17.8,5.77E-23,17.8,5.79E-23
17.9,5.82E-23,17.9,5.85E-23
18,5.88E-23,18,5.90E-23
18.1,5.93E-23,18.1,5.95E-23
18.2,5.98E-23,18.2,6.01E-23
18.3,6.04E-23,18.3,6.06E-23
18.4,6.10E-23,18.4,6.12E-23
18.5,6.15E-23,18.5,6.17E-23
18.6,6.21E-23,18.6,6.23E-23
18.7,6.27E-23,18.7,6.29E-23
18.8,6.33E-23,18.8,6.35E-23
18.9,6.38E-23,18.9,6.41E-23
19,6.45E-23,19,6.47E-23
19.1,6.51E-23,19.1,6.53E-23
19.2,6.57E-23,19.2,6.59E-23
19.3,6.63E-23,19.3,6.66E-23
19.4,6.70E-23,19.4,6.72E-23
19.5,6.76E-23,19.5,6.79E-23
19.6,6.82E-23,19.6,6.85E-23
19.7,6.89E-23,19.7,6.92E-23
19.8,6.96E-23,19.8,6.98E-23
19.9,7.03E-23,19.9,7.06E-23
20,7.09E-23,20,7.12E-23
20.1,7.17E-23,20.1,7.19E-23
20.2,7.24E-23,20.2,7.26E-23
20.3,7.31E-23,20.3,7.34E-23
20.4,7.38E-23,20.4,7.41E-23
20.5,7.46E-23,20.5,7.48E-23
20.6,7.53E-23,20.6,7.56E-23
20.7,7.61E-23,20.7,7.63E-23
20.8,7.69E-23,20.8,7.72E-23
20.9,7.75E-23,20.9,7.78E-23
21,7.85E-23,21,7.87E-23
21.1,7.92E-23,21.1,7.95E-23
21.2,8.00E-23,21.2,8.03E-23
21.3,8.08E-23,21.3,8.11E-23
21.4,8.17E-23,21.4,8.20E-23
21.5,8.25E-23,21.5,8.28E-23
21.6,8.35E-23,21.6,8.38E-23
21.7,8.42E-23,21.7,8.45E-23
21.8,8.52E-23,21.8,8.55E-23
21.9,8.60E-23,21.9,8.63E-23
22,8.69E-23,22,8.72E-23
22.1,8.79E-23,22.1,8.82E-23
22.2,8.90E-23,22.2,8.93E-23
22.3,8.96E-23,22.3,8.99E-23
22.4,9.08E-23,22.4,9.11E-23
22.5,9.16E-23,22.5,9.19E-23
22.6,9.29E-23,22.6,9.32E-23
22.7,9.34E-23,22.7,9.38E-23
22.8,9.49E-23,22.8,9.52E-23
22.9,9.55E-23,22.9,9.58E-23
23,9.69E-23,23,9.73E-23
23.1,9.78E-23,23.1,9.82E-23
23.2,9.89E-23,23.2,9.92E-23
23.3,9.95E-23,23.3,9.98E-23
23.4,1.02E-22,23.4,1.02E-22
23.5,1.03E-22,23.5,1.03E-22
23.6,1.03E-22,23.6,1.03E-22
23.7,1.04E-22,23.7,1.05E-22
23.8,1.05E-22,23.8,1.06E-22
23.9,1.08E-22,23.9,1.08E-22
24,1.08E-22,24,1.08E-22
24.1,1.08E-22,24.1,1.09E-22
24.2,1.12E-22,24.2,1.12E-22
24.3,1.11E-22,24.3,1.12E-22
24.4,1.13E-22,24.4,1.14E-22
24.5,1.13E-22,24.5,1.13E-22
24.6,1.17E-22,24.6,1.17E-22
24.7,1.16E-22,24.7,1.17E-22
24.8,1.18E-22,24.8,1.19E-22
24.9,1.19E-22,24.9,1.19E-22
25,1.22E-22,25,1.22E-22
25.1,1.22E-22,25.1,1.23E-22
25.2,1.26E-22,25.2,1.26E-22
25.3,1.21E-22,25.3,1.21E-22
25.4,1.29E-22,25.4,1.29E-22
25.5,1.30E-22,25.5,1.30E-22
25.6,1.30E-22,25.6,1.31E-22
25.7,1.29E-22,25.7,1.30E-22
25.8,1.35E-22,25.8,1.36E-22
25.9,1.32E-22,25.9,1.32E-22
26,1.34E-22,26,1.34E-22
26.1,1.42E-22,26.1,1.42E-22
26.2,1.42E-22,26.2,1.42E-22
26.3,1.32E-22,26.3,1.33E-22
26.4,1.50E-22,26.4,1.50E-22
26.5,1.44E-22,26.5,1.45E-22
26.6,1.45E-22,26.6,1.45E-22
26.7,1.50E-22,26.7,1.51E-22
26.8,1.44E-22,26.8,1.45E-22
26.9,1.58E-22,26.9,1.59E-22
27,1.51E-22,27,1.52E-22
27.1,1.48E-22,27.1,1.49E-22
27.2,1.82E-22,27.2,1.82E-22
27.3,1.35E-22,27.3,1.36E-22
27.4,1.72E-22,27.4,1.72E-22
27.5,1.51E-22,27.5,1.51E-22
27.6,1.83E-22,27.6,1.84E-22
27.7,1.49E-22,27.7,1.50E-22
27.8,2.03E-22,27.8,2.03E-22
27.9,1.63E-22,27.9,1.63E-22
28,1.52E-22,28,1.52E-22
28.1,1.75E-22,28.1,1.76E-22
28.2,2.00E-22,28.2,2.01E-22
28.3,1.94E-22,28.3,1.95E-22
28.4,1.50E-22,28.4,1.51E-22
28.5,2.11E-22,28.5,2.12E-22
28.6,1.67E-22,28.6,1.68E-22
28.7,1.97E-22,28.7,1.98E-22
28.8,2.63E-22,28.8,2.63E-22
28.9,1.28E-22,28.9,1.29E-22
29,2.37E-22,29,2.38E-22
29.1,1.70E-22,29.1,1.70E-22
29.2,3.10E-22,29.2,3.10E-22
29.3,1.98E-22,29.3,2.00E-22
29.4,1.73E-22,29.4,1.74E-22
29.5,2.70E-22,29.5,2.70E-22
29.6,2.34E-22,29.6,2.34E-22
29.7,2.44E-22,29.7,2.45E-22
29.8,1.35E-22,29.8,1.35E-22
29.9,2.80E-22,29.9,2.81E-22
30,2.10E-22,30,2.11E-22
30.1,3.07E-22,30.1,3.07E-22
30.2,1.47E-22,30.2,1.48E-22
30.3,3.38E-22,30.3,3.40E-22
30.4,1.65E-22,30.4,1.65E-22
30.5,3.18E-22,30.5,3.19E-22
30.6,4.85E-22,30.6,4.86E-22
30.7,1.97E-23,30.7,1.98E-23
30.8,6.19E-22,30.8,6.22E-22
30.9,3.27E-22,30.9,3.26E-22
31,5.41E-23,31,5.55E-23
31.1,7.21E-22,31.1,7.22E-22
31.2,2.34E-22,31.2,2.34E-22
31.3,3.96E-22,31.3,4.00E-22
31.4,1.12E-21,31.4,1.12E-21
31.5,9.61E-22,31.5,9.68E-22
31.6,7.54E-22,31.6,7.48E-22
31.7,1.27E-21,31.7,1.27E-21
31.8,5.98E-22,31.8,5.97E-22
31.9,2.55E-23,31.9,2.47E-23
32,1.19E-21,32,1.19E-21
32.1,3.44E-22,32.1,3.46E-22
32.2,3.78E-22,32.2,3.79E-22
32.3,1.09E-22,32.3,1.11E-22
32.4,1.30E-21,32.4,1.30E-21
32.5,1.47E-21,32.5,1.48E-21
32.6,2.52E-21,32.6,2.52E-21
32.7,2.77E-23,32.7,2.90E-23
32.8,7.09E-22,32.8,7.07E-22
32.9,1.24E-21,32.9,1.25E-21
33,8.90E-22,33,8.85E-22
33.1,4.39E-21,33.1,4.39E-21
33.2,4.25E-21,33.2,4.25E-21
33.3,7.12E-21,33.3,7.13E-21
33.4,2.08E-22,33.4,2.08E-22
33.5,1.65E-21,33.5,1.66E-21
33.6,8.97E-21,33.6,8.95E-21
33.7,1.54E-20,33.7,1.54E-20
33.8,1.42E-20,33.8,1.42E-20
