Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.81E-21,0,1.82E-21
0.1,3.63E-21,0.1,3.63E-21
0.2,3.63E-21,0.2,3.63E-21
0.3,3.63E-21,0.3,3.64E-21
0.4,3.63E-21,0.4,3.64E-21
0.5,3.63E-21,0.5,3.64E-21
0.6,3.63E-21,0.6,3.64E-21
0.7,3.64E-21,0.7,3.64E-21
0.8,3.64E-21,0.8,3.65E-21
0.9,3.64E-21,0.9,3.65E-21
1,3.65E-21,1,3.65E-21
1.1,3.65E-21,1.1,3.66E-21
1.2,3.65E-21,1.2,3.66E-21
1.3,3.66E-21,1.3,3.67E-21
1.4,3.67E-21,1.4,3.67E-21
1.5,3.67E-21,1.5,3.68E-21
1.6,3.68E-21,1.6,3.69E-21
1.7,3.68E-21,1.7,3.69E-21
1.8,3.69E-21,1.8,3.70E-21
1.9,3.70E-21,1.9,3.71E-21
2,3.71E-21,2,3.72E-21
2.1,3.72E-21,2.1,3.72E-21
2.2,3.72E-21,2.2,3.73E-21
2.3,3.73E-21,2.3,3.74E-21
2.4,3.74E-21,2.4,3.75E-21
2.5,3.75E-21,2.5,3.76E-21
2.6,3.76E-21,2.6,3.77E-21
2.7,3.78E-21,2.7,3.78E-21
2.8,3.79E-21,2.8,3.80E-21
2.9,3.80E-21,2.9,3.81E-21
3,3.81E-21,3,3.82E-21
3.1,3.82E-21,3.1,3.83E-21
3.2,3.84E-21,3.2,3.85E-21
3.3,3.85E-21,3.3,3.86E-21
3.4,3.86E-21,3.4,3.87E-21
3.5,3.88E-21,3.5,3.89E-21
3.6,3.89E-21,3.6,3.90E-21
3.7,3.91E-21,3.7,3.92E-21
3.8,3.92E-21,3.8,3.93E-21
3.9,3.94E-21,3.9,3.95E-21
4,3.96E-21,4,3.97E-21
4.1,3.97E-21,4.1,3.98E-21
4.2,3.99E-21,4.2,4.00E-21
4.3,4.01E-21,4.3,4.02E-21
4.4,4.03E-21,4.4,4.04E-21
4.5,4.05E-21,4.5,4.06E-21
4.6,4.07E-21,4.6,4.08E-21
4.7,4.09E-21,4.7,4.09E-21
4.8,4.11E-21,4.8,4.12E-21
4.9,4.13E-21,4.9,4.14E-21
5,4.15E-21,5,4.16E-21
5.1,4.17E-21,5.1,4.18E-21
5.2,4.19E-21,5.2,4.20E-21
5.3,4.21E-21,5.3,4.22E-21
5.4,4.24E-21,5.4,4.25E-21
5.5,4.26E-21,5.5,4.27E-21
5.6,4.29E-21,5.6,4.29E-21
5.7,4.31E-21,5.7,4.32E-21
5.8,4.33E-21,5.8,4.34E-21
5.9,4.36E-21,5.9,4.37E-21
6,4.39E-21,6,4.39E-21
6.1,4.41E-21,6.1,4.42E-21
6.2,4.44E-21,6.2,4.45E-21
6.3,4.47E-21,6.3,4.47E-21
6.4,4.49E-21,6.4,4.50E-21
6.5,4.52E-21,6.5,4.53E-21
6.6,4.55E-21,6.6,4.56E-21
6.7,4.58E-21,6.7,4.59E-21
6.8,4.61E-21,6.8,4.62E-21
6.9,4.64E-21,6.9,4.65E-21
7,4.67E-21,7,4.68E-21
7.1,4.70E-21,7.1,4.71E-21
7.2,4.73E-21,7.2,4.74E-21
7.3,4.77E-21,7.3,4.78E-21
7.4,4.80E-21,7.4,4.81E-21
7.5,4.83E-21,7.5,4.84E-21
7.6,4.87E-21,7.6,4.88E-21
7.7,4.90E-21,7.7,4.91E-21
7.8,4.94E-21,7.8,4.95E-21
7.9,4.97E-21,7.9,4.98E-21
8,5.01E-21,8,5.02E-21
8.1,5.04E-21,8.1,5.05E-21
8.2,5.08E-21,8.2,5.09E-21
8.3,5.12E-21,8.3,5.13E-21
8.4,5.16E-21,8.4,5.17E-21
8.5,5.20E-21,8.5,5.21E-21
8.6,5.24E-21,8.6,5.25E-21
8.7,5.28E-21,8.7,5.29E-21
8.8,5.32E-21,8.8,5.33E-21
8.9,5.36E-21,8.9,5.37E-21
9,5.40E-21,9,5.41E-21
9.1,5.44E-21,9.1,5.45E-21
9.2,5.49E-21,9.2,5.49E-21
9.3,5.53E-21,9.3,5.54E-21
9.4,5.57E-21,9.4,5.58E-21
9.5,5.62E-21,9.5,5.63E-21
9.6,5.66E-21,9.6,5.67E-21
9.7,5.71E-21,9.7,5.72E-21
9.8,5.76E-21,9.8,5.77E-21
9.9,5.80E-21,9.9,5.81E-21
10,5.85E-21,10,5.86E-21
10.1,5.90E-21,10.1,5.91E-21
10.2,5.95E-21,10.2,5.96E-21
10.3,6.00E-21,10.3,6.01E-21
10.4,6.05E-21,10.4,6.06E-21
10.5,6.10E-21,10.5,6.11E-21
10.6,6.15E-21,10.6,6.16E-21
10.7,6.20E-21,10.7,6.21E-21
10.8,6.26E-21,10.8,6.27E-21
10.9,6.31E-21,10.9,6.32E-21
11,6.37E-21,11,6.38E-21
11.1,6.42E-21,11.1,6.43E-21
11.2,6.48E-21,11.2,6.49E-21
11.3,6.53E-21,11.3,6.54E-21
11.4,6.59E-21,11.4,6.60E-21
