Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,9.16E-23,0,9.22E-23
0.1,1.83E-22,0.1,1.84E-22
0.2,1.83E-22,0.2,1.84E-22
0.3,1.83E-22,0.3,1.85E-22
0.4,1.84E-22,0.4,1.85E-22
0.5,1.84E-22,0.5,1.85E-22
0.6,1.84E-22,0.6,1.85E-22
0.7,1.84E-22,0.7,1.85E-22
0.8,1.85E-22,0.8,1.86E-22
0.9,1.85E-22,0.9,1.86E-22
1,1.85E-22,1,1.87E-22
1.1,1.86E-22,1.1,1.87E-22
1.2,1.86E-22,1.2,1.88E-22
1.3,1.87E-22,1.3,1.88E-22
1.4,1.88E-22,1.4,1.89E-22
1.5,1.88E-22,1.5,1.89E-22
1.6,1.89E-22,1.6,1.90E-22
1.7,1.90E-22,1.7,1.91E-22
1.8,1.90E-22,1.8,1.92E-22
1.9,1.91E-22,1.9,1.92E-22
2,1.92E-22,2,1.93E-22
2.1,1.93E-22,2.1,1.94E-22
2.2,1.94E-22,2.2,1.95E-22
2.3,1.95E-22,2.3,1.96E-22
2.4,1.96E-22,2.4,1.97E-22
2.5,1.97E-22,2.5,1.98E-22
2.6,1.98E-22,2.6,1.99E-22
2.7,1.99E-22,2.7,2.01E-22
2.8,2.01E-22,2.8,2.02E-22
2.9,2.02E-22,2.9,2.03E-22
3,2.03E-22,3,2.04E-22
3.1,2.05E-22,3.1,2.06E-22
3.2,2.06E-22,3.2,2.07E-22
3.3,2.07E-22,3.3,2.09E-22
3.4,2.09E-22,3.4,2.10E-22
3.5,2.10E-22,3.5,2.12E-22
3.6,2.12E-22,3.6,2.13E-22
3.7,2.14E-22,3.7,2.15E-22
3.8,2.15E-22,3.8,2.16E-22
3.9,2.17E-22,3.9,2.18E-22
4,2.19E-22,4,2.20E-22
4.1,2.21E-22,4.1,2.22E-22
4.2,2.22E-22,4.2,2.24E-22
4.3,2.24E-22,4.3,2.25E-22
4.4,2.26E-22,4.4,2.27E-22
4.5,2.28E-22,4.5,2.29E-22
4.6,2.30E-22,4.6,2.31E-22
4.7,2.32E-22,4.7,2.34E-22
4.8,2.35E-22,4.8,2.36E-22
4.9,2.37E-22,4.9,2.38E-22
5,2.39E-22,5,2.40E-22
5.1,2.41E-22,5.1,2.42E-22
5.2,2.44E-22,5.2,2.45E-22
5.3,2.46E-22,5.3,2.47E-22
5.4,2.48E-22,5.4,2.49E-22
5.5,2.51E-22,5.5,2.52E-22
5.6,2.53E-22,5.6,2.54E-22
5.7,2.56E-22,5.7,2.57E-22
5.8,2.58E-22,5.8,2.60E-22
5.9,2.61E-22,5.9,2.62E-22
6,2.64E-22,6,2.65E-22
6.1,2.66E-22,6.1,2.68E-22
6.2,2.69E-22,6.2,2.70E-22
6.3,2.72E-22,6.3,2.73E-22
6.4,2.75E-22,6.4,2.76E-22
6.5,2.78E-22,6.5,2.79E-22
6.6,2.81E-22,6.6,2.82E-22
6.7,2.84E-22,6.7,2.85E-22
6.8,2.87E-22,6.8,2.88E-22
6.9,2.90E-22,6.9,2.91E-22
7,2.93E-22,7,2.95E-22
7.1,2.97E-22,7.1,2.98E-22
7.2,3.00E-22,7.2,3.01E-22
7.3,3.03E-22,7.3,3.04E-22
7.4,3.07E-22,7.4,3.08E-22
7.5,3.10E-22,7.5,3.11E-22
7.6,3.13E-22,7.6,3.15E-22
7.7,3.17E-22,7.7,3.18E-22
7.8,3.21E-22,7.8,3.22E-22
7.9,3.24E-22,7.9,3.25E-22
8,3.28E-22,8,3.29E-22
8.1,3.32E-22,8.1,3.33E-22
8.2,3.35E-22,8.2,3.37E-22
8.3,3.39E-22,8.3,3.40E-22
8.4,3.43E-22,8.4,3.44E-22
8.5,3.47E-22,8.5,3.48E-22
8.6,3.51E-22,8.6,3.52E-22
8.7,3.55E-22,8.7,3.56E-22
8.8,3.59E-22,8.8,3.60E-22
8.9,3.63E-22,8.9,3.65E-22
9,3.67E-22,9,3.69E-22
9.1,3.72E-22,9.1,3.73E-22
9.2,3.76E-22,9.2,3.77E-22
9.3,3.80E-22,9.3,3.82E-22
9.4,3.85E-22,9.4,3.86E-22
9.5,3.89E-22,9.5,3.90E-22
9.6,3.94E-22,9.6,3.95E-22
9.7,3.98E-22,9.7,4.00E-22
9.8,4.03E-22,9.8,4.04E-22
9.9,4.07E-22,9.9,4.09E-22
10,4.12E-22,10,4.14E-22
10.1,4.17E-22,10.1,4.18E-22
10.2,4.22E-22,10.2,4.23E-22
10.3,4.27E-22,10.3,4.28E-22
10.4,4.32E-22,10.4,4.33E-22
10.5,4.37E-22,10.5,4.38E-22
10.6,4.42E-22,10.6,4.43E-22
10.7,4.47E-22,10.7,4.48E-22
10.8,4.52E-22,10.8,4.53E-22
10.9,4.57E-22,10.9,4.59E-22
11,4.62E-22,11,4.64E-22
11.1,4.68E-22,11.1,4.69E-22
11.2,4.73E-22,11.2,4.75E-22
11.3,4.79E-22,11.3,4.80E-22
11.4,4.84E-22,11.4,4.86E-22
11.5,4.90E-22,11.5,4.91E-22
11.6,4.95E-22,11.6,4.97E-22
11.7,5.01E-22,11.7,5.02E-22
11.8,5.07E-22,11.8,5.08E-22
11.9,5.12E-22,11.9,5.14E-22
12,5.18E-22,12,5.20E-22
12.1,5.24E-22,12.1,5.26E-22
12.2,5.30E-22,12.2,5.32E-22
12.3,5.36E-22,12.3,5.38E-22
12.4,5.42E-22,12.4,5.44E-22
12.5,5.48E-22,12.5,5.50E-22
12.6,5.55E-22,12.6,5.56E-22
12.7,5.61E-22,12.7,5.63E-22
12.8,5.67E-22,12.8,5.69E-22
12.9,5.74E-22,12.9,5.75E-22
13,5.80E-22,13,5.82E-22
13.1,5.87E-22,13.1,5.88E-22
13.2,5.93E-22,13.2,5.95E-22
13.3,6.00E-22,13.3,6.01E-22
13.4,6.07E-22,13.4,6.08E-22
13.5,6.13E-22,13.5,6.15E-22
13.6,6.20E-22,13.6,6.22E-22
13.7,6.27E-22,13.7,6.29E-22
13.8,6.34E-22,13.8,6.36E-22
13.9,6.41E-22,13.9,6.43E-22
14,6.48E-22,14,6.50E-22
14.1,6.55E-22,14.1,6.57E-22
14.2,6.62E-22,14.2,6.64E-22
14.3,6.70E-22,14.3,6.71E-22
14.4,6.77E-22,14.4,6.79E-22
14.5,6.85E-22,14.5,6.86E-22
14.6,6.92E-22,14.6,6.94E-22
14.7,7.00E-22,14.7,7.01E-22
14.8,7.07E-22,14.8,7.09E-22
14.9,7.15E-22,14.9,7.17E-22
15,7.23E-22,15,7.24E-22
15.1,7.30E-22,15.1,7.32E-22
15.2,7.38E-22,15.2,7.40E-22
15.3,7.46E-22,15.3,7.48E-22
15.4,7.54E-22,15.4,7.56E-22
15.5,7.62E-22,15.5,7.64E-22
15.6,7.70E-22,15.6,7.72E-22
15.7,7.79E-22,15.7,7.80E-22
15.8,7.87E-22,15.8,7.89E-22
15.9,7.95E-22,15.9,7.97E-22
16,8.04E-22,16,8.06E-22
16.1,8.12E-22,16.1,8.14E-22
16.2,8.21E-22,16.2,8.23E-22
16.3,8.30E-22,16.3,8.31E-22
16.4,8.38E-22,16.4,8.40E-22
16.5,8.47E-22,16.5,8.49E-22
16.6,8.56E-22,16.6,8.58E-22
16.7,8.65E-22,16.7,8.67E-22
16.8,8.74E-22,16.8,8.76E-22
16.9,8.83E-22,16.9,8.85E-22
17,8.92E-22,17,8.94E-22
17.1,9.01E-22,17.1,9.03E-22
17.2,9.11E-22,17.2,9.13E-22
17.3,9.20E-22,17.3,9.22E-22
17.4,9.30E-22,17.4,9.32E-22
17.5,9.39E-22,17.5,9.41E-22
17.6,9.49E-22,17.6,9.51E-22
17.7,9.58E-22,17.7,9.60E-22
17.8,9.68E-22,17.8,9.70E-22
17.9,9.78E-22,17.9,9.80E-22
18,9.88E-22,18,9.90E-22
18.1,9.98E-22,18.1,1.00E-21
18.2,1.01E-21,18.2,1.01E-21
18.3,1.02E-21,18.3,1.02E-21
18.4,1.03E-21,18.4,1.03E-21
18.5,1.04E-21,18.5,1.04E-21
18.6,1.05E-21,18.6,1.05E-21
18.7,1.06E-21,18.7,1.06E-21
18.8,1.07E-21,18.8,1.07E-21
18.9,1.08E-21,18.9,1.08E-21
19,1.09E-21,19,1.09E-21
19.1,1.10E-21,19.1,1.10E-21
19.2,1.11E-21,19.2,1.12E-21
19.3,1.12E-21,19.3,1.13E-21
19.4,1.14E-21,19.4,1.14E-21
19.5,1.15E-21,19.5,1.15E-21
19.6,1.16E-21,19.6,1.16E-21
19.7,1.17E-21,19.7,1.17E-21
19.8,1.18E-21,19.8,1.18E-21
19.9,1.19E-21,19.9,1.19E-21
20,1.20E-21,20,1.21E-21
20.1,1.22E-21,20.1,1.22E-21
20.2,1.23E-21,20.2,1.23E-21
20.3,1.24E-21,20.3,1.24E-21
20.4,1.25E-21,20.4,1.25E-21
20.5,1.26E-21,20.5,1.27E-21
20.6,1.27E-21,20.6,1.28E-21
20.7,1.29E-21,20.7,1.29E-21
20.8,1.30E-21,20.8,1.30E-21
