Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,3.90E-22,0,3.89E-22
0.1,7.80E-22,0.1,7.78E-22
0.2,7.80E-22,0.2,7.78E-22
0.3,7.80E-22,0.3,7.79E-22
0.4,7.81E-22,0.4,7.79E-22
0.5,7.81E-22,0.5,7.79E-22
0.6,7.81E-22,0.6,7.79E-22
0.7,7.82E-22,0.7,7.80E-22
0.8,7.82E-22,0.8,7.80E-22
0.9,7.83E-22,0.9,7.81E-22
1,7.84E-22,1,7.82E-22
1.1,7.84E-22,1.1,7.82E-22
1.2,7.85E-22,1.2,7.83E-22
1.3,7.86E-22,1.3,7.84E-22
1.4,7.87E-22,1.4,7.85E-22
1.5,7.88E-22,1.5,7.86E-22
1.6,7.89E-22,1.6,7.87E-22
1.7,7.90E-22,1.7,7.88E-22
1.8,7.91E-22,1.8,7.89E-22
1.9,7.92E-22,1.9,7.91E-22
2,7.94E-22,2,7.92E-22
2.1,7.95E-22,2.1,7.93E-22
2.2,7.97E-22,2.2,7.95E-22
2.3,7.98E-22,2.3,7.96E-22
2.4,8.00E-22,2.4,7.98E-22
2.5,8.02E-22,2.5,8.00E-22
2.6,8.03E-22,2.6,8.01E-22
2.7,8.05E-22,2.7,8.03E-22
2.8,8.07E-22,2.8,8.05E-22
2.9,8.09E-22,2.9,8.07E-22
3,8.11E-22,3,8.09E-22
3.1,8.13E-22,3.1,8.11E-22
3.2,8.15E-22,3.2,8.13E-22
3.3,8.18E-22,3.3,8.16E-22
3.4,8.20E-22,3.4,8.18E-22
3.5,8.22E-22,3.5,8.20E-22
3.6,8.25E-22,3.6,8.23E-22
3.7,8.27E-22,3.7,8.25E-22
3.8,8.30E-22,3.8,8.28E-22
3.9,8.33E-22,3.9,8.31E-22
4,8.36E-22,4,8.34E-22
4.1,8.38E-22,4.1,8.36E-22
4.2,8.41E-22,4.2,8.39E-22
4.3,8.44E-22,4.3,8.42E-22
4.4,8.47E-22,4.4,8.45E-22
4.5,8.51E-22,4.5,8.49E-22
4.6,8.54E-22,4.6,8.52E-22
4.7,8.57E-22,4.7,8.55E-22
4.8,8.61E-22,4.8,8.59E-22
4.9,8.64E-22,4.9,8.62E-22
5,8.68E-22,5,8.66E-22
5.1,8.71E-22,5.1,8.69E-22
5.2,8.75E-22,5.2,8.73E-22
5.3,8.79E-22,5.3,8.77E-22
5.4,8.83E-22,5.4,8.80E-22
5.5,8.86E-22,5.5,8.84E-22
5.6,8.90E-22,5.6,8.88E-22
5.7,8.95E-22,5.7,8.93E-22
5.8,8.99E-22,5.8,8.97E-22
5.9,9.03E-22,5.9,9.01E-22
6,9.07E-22,6,9.05E-22
6.1,9.12E-22,6.1,9.10E-22
