Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,5.29E-22,0,5.30E-22
0.1,1.06E-21,0.1,1.06E-21
0.2,1.06E-21,0.2,1.06E-21
0.3,1.06E-21,0.3,1.06E-21
0.4,1.06E-21,0.4,1.06E-21
0.5,1.06E-21,0.5,1.06E-21
0.6,1.06E-21,0.6,1.06E-21
0.7,1.06E-21,0.7,1.06E-21
0.8,1.07E-21,0.8,1.07E-21
0.9,1.07E-21,0.9,1.07E-21
1,1.07E-21,1,1.07E-21
1.1,1.07E-21,1.1,1.07E-21
1.2,1.07E-21,1.2,1.07E-21
1.3,1.08E-21,1.3,1.08E-21
1.4,1.08E-21,1.4,1.08E-21
1.5,1.08E-21,1.5,1.08E-21
1.6,1.09E-21,1.6,1.09E-21
1.7,1.09E-21,1.7,1.09E-21
1.8,1.09E-21,1.8,1.09E-21
1.9,1.10E-21,1.9,1.10E-21
2,1.10E-21,2,1.10E-21
2.1,1.11E-21,2.1,1.11E-21
2.2,1.11E-21,2.2,1.11E-21
2.3,1.12E-21,2.3,1.12E-21
2.4,1.12E-21,2.4,1.12E-21
2.5,1.13E-21,2.5,1.13E-21
2.6,1.13E-21,2.6,1.13E-21
2.7,1.14E-21,2.7,1.14E-21
2.8,1.14E-21,2.8,1.15E-21
2.9,1.15E-21,2.9,1.15E-21
3,1.16E-21,3,1.16E-21
3.1,1.16E-21,3.1,1.17E-21
3.2,1.17E-21,3.2,1.17E-21
3.3,1.18E-21,3.3,1.18E-21
3.4,1.19E-21,3.4,1.19E-21
3.5,1.19E-21,3.5,1.19E-21
3.6,1.20E-21,3.6,1.20E-21
3.7,1.21E-21,3.7,1.21E-21
3.8,1.22E-21,3.8,1.22E-21
3.9,1.23E-21,3.9,1.23E-21
4,1.24E-21,4,1.24E-21
4.1,1.24E-21,4.1,1.25E-21
4.2,1.25E-21,4.2,1.26E-21
4.3,1.26E-21,4.3,1.27E-21
4.4,1.27E-21,4.4,1.27E-21
4.5,1.28E-21,4.5,1.29E-21
4.6,1.29E-21,4.6,1.30E-21
4.7,1.30E-21,4.7,1.31E-21
4.8,1.32E-21,4.8,1.32E-21
4.9,1.33E-21,4.9,1.33E-21
5,1.34E-21,5,1.34E-21
5.1,1.35E-21,5.1,1.35E-21
5.2,1.36E-21,5.2,1.36E-21
5.3,1.37E-21,5.3,1.38E-21
5.4,1.39E-21,5.4,1.39E-21
5.5,1.40E-21,5.5,1.40E-21
5.6,1.41E-21,5.6,1.41E-21
5.7,1.43E-21,5.7,1.43E-21
5.8,1.44E-21,5.8,1.44E-21
5.9,1.45E-21,5.9,1.45E-21
6,1.47E-21,6,1.47E-21
6.1,1.48E-21,6.1,1.48E-21
6.2,1.50E-21,6.2,1.50E-21
6.3,1.51E-21,6.3,1.51E-21
6.4,1.52E-21,6.4,1.53E-21
6.5,1.54E-21,6.5,1.54E-21
6.6,1.56E-21,6.6,1.56E-21
6.7,1.57E-21,6.7,1.57E-21
6.8,1.59E-21,6.8,1.59E-21
6.9,1.60E-21,6.9,1.61E-21
7,1.62E-21,7,1.62E-21
7.1,1.64E-21,7.1,1.64E-21
7.2,1.66E-21,7.2,1.66E-21
7.3,1.67E-21,7.3,1.67E-21
7.4,1.69E-21,7.4,1.69E-21
7.5,1.71E-21,7.5,1.71E-21
7.6,1.73E-21,7.6,1.73E-21
7.7,1.75E-21,7.7,1.75E-21
7.8,1.77E-21,7.8,1.77E-21
7.9,1.79E-21,7.9,1.79E-21
8,1.81E-21,8,1.81E-21
8.1,1.83E-21,8.1,1.83E-21
8.2,1.85E-21,8.2,1.85E-21
8.3,1.87E-21,8.3,1.87E-21
8.4,1.89E-21,8.4,1.89E-21
8.5,1.91E-21,8.5,1.91E-21
8.6,1.93E-21,8.6,1.93E-21
8.7,1.95E-21,8.7,1.95E-21
8.8,1.98E-21,8.8,1.98E-21
8.9,2.00E-21,8.9,2.00E-21
9,2.02E-21,9,2.02E-21
9.1,2.04E-21,9.1,2.05E-21
9.2,2.07E-21,9.2,2.07E-21
9.3,2.09E-21,9.3,2.09E-21
9.4,2.12E-21,9.4,2.12E-21
9.5,2.14E-21,9.5,2.14E-21
9.6,2.17E-21,9.6,2.17E-21
9.7,2.19E-21,9.7,2.19E-21
9.8,2.22E-21,9.8,2.22E-21
9.9,2.24E-21,9.9,2.25E-21
10,2.27E-21,10,2.27E-21
10.1,2.30E-21,10.1,2.30E-21
10.2,2.33E-21,10.2,2.33E-21
10.3,2.35E-21,10.3,2.36E-21
10.4,2.38E-21,10.4,2.38E-21
10.5,2.41E-21,10.5,2.41E-21
10.6,2.44E-21,10.6,2.44E-21
10.7,2.47E-21,10.7,2.47E-21
10.8,2.50E-21,10.8,2.50E-21
10.9,2.53E-21,10.9,2.53E-21
11,2.56E-21,11,2.56E-21
11.1,2.59E-21,11.1,2.59E-21
11.2,2.62E-21,11.2,2.62E-21
11.3,2.65E-21,11.3,2.66E-21
11.4,2.69E-21,11.4,2.69E-21
11.5,2.72E-21,11.5,2.72E-21
11.6,2.75E-21,11.6,2.75E-21
11.7,2.79E-21,11.7,2.79E-21
11.8,2.82E-21,11.8,2.82E-21
11.9,2.85E-21,11.9,2.86E-21
12,2.89E-21,12,2.89E-21
12.1,2.92E-21,12.1,2.93E-21
12.2,2.96E-21,12.2,2.96E-21
12.3,3.00E-21,12.3,3.00E-21
12.4,3.03E-21,12.4,3.04E-21
12.5,3.07E-21,12.5,3.07E-21
12.6,3.11E-21,12.6,3.11E-21
12.7,3.15E-21,12.7,3.15E-21
12.8,3.19E-21,12.8,3.19E-21
12.9,3.23E-21,12.9,3.23E-21
13,3.27E-21,13,3.27E-21
13.1,3.31E-21,13.1,3.31E-21
13.2,3.35E-21,13.2,3.35E-21
13.3,3.39E-21,13.3,3.39E-21
13.4,3.43E-21,13.4,3.43E-21
13.5,3.47E-21,13.5,3.48E-21
13.6,3.52E-21,13.6,3.52E-21
13.7,3.56E-21,13.7,3.56E-21
13.8,3.60E-21,13.8,3.61E-21
13.9,3.65E-21,13.9,3.65E-21
14,3.69E-21,14,3.70E-21
14.1,3.74E-21,14.1,3.74E-21
14.2,3.79E-21,14.2,3.79E-21
14.3,3.83E-21,14.3,3.84E-21
14.4,3.88E-21,14.4,3.89E-21
14.5,3.93E-21,14.5,3.93E-21
14.6,3.98E-21,14.6,3.98E-21
14.7,4.03E-21,14.7,4.03E-21
14.8,4.08E-21,14.8,4.08E-21
14.9,4.13E-21,14.9,4.13E-21
15,4.18E-21,15,4.19E-21
15.1,4.23E-21,15.1,4.24E-21
15.2,4.29E-21,15.2,4.29E-21
15.3,4.34E-21,15.3,4.34E-21
15.4,4.39E-21,15.4,4.40E-21
15.5,4.45E-21,15.5,4.45E-21
15.6,4.50E-21,15.6,4.51E-21
15.7,4.56E-21,15.7,4.57E-21
15.8,4.62E-21,15.8,4.62E-21
15.9,4.68E-21,15.9,4.68E-21
16,4.73E-21,16,4.74E-21
16.1,4.79E-21,16.1,4.80E-21
16.2,4.85E-21,16.2,4.86E-21
16.3,4.91E-21,16.3,4.92E-21
16.4,4.98E-21,16.4,4.98E-21
16.5,5.04E-21,16.5,5.04E-21
16.6,5.10E-21,16.6,5.11E-21
16.7,5.16E-21,16.7,5.17E-21
16.8,5.23E-21,16.8,5.23E-21
16.9,5.29E-21,16.9,5.30E-21
17,5.36E-21,17,5.37E-21
17.1,5.43E-21,17.1,5.43E-21
17.2,5.50E-21,17.2,5.50E-21
17.3,5.56E-21,17.3,5.57E-21
17.4,5.63E-21,17.4,5.64E-21
17.5,5.71E-21,17.5,5.71E-21
17.6,5.78E-21,17.6,5.78E-21
