Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.60E-21,0,1.60E-21
0.1,3.20E-21,0.1,3.20E-21
0.2,3.20E-21,0.2,3.20E-21
0.3,3.20E-21,0.3,3.20E-21
0.4,3.20E-21,0.4,3.20E-21
0.5,3.20E-21,0.5,3.20E-21
0.6,3.20E-21,0.6,3.20E-21
0.7,3.20E-21,0.7,3.20E-21
0.8,3.20E-21,0.8,3.20E-21
0.9,3.20E-21,0.9,3.20E-21
1,3.20E-21,1,3.20E-21
1.1,3.20E-21,1.1,3.20E-21
1.2,3.20E-21,1.2,3.20E-21
1.3,3.20E-21,1.3,3.20E-21
1.4,3.20E-21,1.4,3.20E-21
1.5,3.20E-21,1.5,3.20E-21
1.6,3.21E-21,1.6,3.21E-21
1.7,3.21E-21,1.7,3.21E-21
1.8,3.21E-21,1.8,3.21E-21
1.9,3.21E-21,1.9,3.21E-21
2,3.21E-21,2,3.21E-21
2.1,3.21E-21,2.1,3.21E-21
2.2,3.22E-21,2.2,3.22E-21
2.3,3.22E-21,2.3,3.22E-21
2.4,3.22E-21,2.4,3.22E-21
2.5,3.22E-21,2.5,3.22E-21
2.6,3.22E-21,2.6,3.22E-21
2.7,3.22E-21,2.7,3.22E-21
2.8,3.23E-21,2.8,3.23E-21
2.9,3.23E-21,2.9,3.23E-21
3,3.23E-21,3,3.23E-21
3.1,3.23E-21,3.1,3.23E-21
3.2,3.24E-21,3.2,3.24E-21
3.3,3.24E-21,3.3,3.24E-21
3.4,3.24E-21,3.4,3.24E-21
3.5,3.24E-21,3.5,3.24E-21
3.6,3.25E-21,3.6,3.25E-21
3.7,3.25E-21,3.7,3.25E-21
3.8,3.25E-21,3.8,3.25E-21
3.9,3.26E-21,3.9,3.26E-21
4,3.26E-21,4,3.26E-21
4.1,3.26E-21,4.1,3.26E-21
4.2,3.27E-21,4.2,3.27E-21
4.3,3.27E-21,4.3,3.27E-21
4.4,3.27E-21,4.4,3.27E-21
4.5,3.28E-21,4.5,3.28E-21
4.6,3.28E-21,4.6,3.28E-21
4.7,3.28E-21,4.7,3.28E-21
4.8,3.29E-21,4.8,3.29E-21
4.9,3.29E-21,4.9,3.29E-21
5,3.30E-21,5,3.30E-21
5.1,3.30E-21,5.1,3.30E-21
5.2,3.30E-21,5.2,3.30E-21
5.3,3.31E-21,5.3,3.31E-21
5.4,3.31E-21,5.4,3.31E-21
5.5,3.32E-21,5.5,3.32E-21
5.6,3.32E-21,5.6,3.32E-21
5.7,3.33E-21,5.7,3.33E-21
5.8,3.33E-21,5.8,3.33E-21
5.9,3.34E-21,5.9,3.34E-21
6,3.34E-21,6,3.34E-21
6.1,3.35E-21,6.1,3.35E-21
6.2,3.35E-21,6.2,3.35E-21
6.3,3.36E-21,6.3,3.36E-21
6.4,3.36E-21,6.4,3.36E-21
6.5,3.37E-21,6.5,3.37E-21
6.6,3.37E-21,6.6,3.37E-21
6.7,3.38E-21,6.7,3.38E-21
6.8,3.38E-21,6.8,3.38E-21
6.9,3.39E-21,6.9,3.39E-21
7,3.40E-21,7,3.40E-21
7.1,3.40E-21,7.1,3.40E-21
7.2,3.41E-21,7.2,3.41E-21
7.3,3.41E-21,7.3,3.41E-21
7.4,3.42E-21,7.4,3.42E-21
7.5,3.43E-21,7.5,3.43E-21
7.6,3.43E-21,7.6,3.43E-21
