Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,6.02E-23,0,5.98E-23
0.1,1.20E-22,0.1,1.20E-22
0.2,1.20E-22,0.2,1.20E-22
0.3,1.20E-22,0.3,1.20E-22
0.4,1.20E-22,0.4,1.20E-22
0.5,1.21E-22,0.5,1.20E-22
0.6,1.21E-22,0.6,1.20E-22
0.7,1.21E-22,0.7,1.20E-22
0.8,1.21E-22,0.8,1.20E-22
0.9,1.21E-22,0.9,1.20E-22
1,1.21E-22,1,1.20E-22
1.1,1.21E-22,1.1,1.20E-22
1.2,1.21E-22,1.2,1.20E-22
1.3,1.21E-22,1.3,1.20E-22
1.4,1.21E-22,1.4,1.20E-22
1.5,1.21E-22,1.5,1.20E-22
1.6,1.21E-22,1.6,1.20E-22
1.7,1.21E-22,1.7,1.21E-22
1.8,1.22E-22,1.8,1.21E-22
1.9,1.22E-22,1.9,1.21E-22
2,1.22E-22,2,1.21E-22
2.1,1.22E-22,2.1,1.21E-22
2.2,1.22E-22,2.2,1.21E-22
2.3,1.22E-22,2.3,1.21E-22
2.4,1.23E-22,2.4,1.22E-22
2.5,1.23E-22,2.5,1.22E-22
2.6,1.23E-22,2.6,1.22E-22
2.7,1.23E-22,2.7,1.22E-22
2.8,1.23E-22,2.8,1.22E-22
2.9,1.24E-22,2.9,1.23E-22
3,1.24E-22,3,1.23E-22
3.1,1.24E-22,3.1,1.23E-22
3.2,1.24E-22,3.2,1.23E-22
3.3,1.24E-22,3.3,1.24E-22
3.4,1.25E-22,3.4,1.24E-22
3.5,1.25E-22,3.5,1.24E-22
3.6,1.25E-22,3.6,1.24E-22
3.7,1.26E-22,3.7,1.25E-22
3.8,1.26E-22,3.8,1.25E-22
3.9,1.26E-22,3.9,1.25E-22
4,1.26E-22,4,1.25E-22
4.1,1.27E-22,4.1,1.26E-22
4.2,1.27E-22,4.2,1.26E-22
4.3,1.27E-22,4.3,1.26E-22
4.4,1.28E-22,4.4,1.27E-22
4.5,1.28E-22,4.5,1.27E-22
4.6,1.28E-22,4.6,1.27E-22
4.7,1.29E-22,4.7,1.28E-22
4.8,1.29E-22,4.8,1.28E-22
4.9,1.29E-22,4.9,1.28E-22
5,1.30E-22,5,1.29E-22
5.1,1.30E-22,5.1,1.29E-22
5.2,1.31E-22,5.2,1.30E-22
5.3,1.31E-22,5.3,1.30E-22
5.4,1.31E-22,5.4,1.30E-22
5.5,1.32E-22,5.5,1.31E-22
5.6,1.32E-22,5.6,1.31E-22
5.7,1.33E-22,5.7,1.32E-22
5.8,1.33E-22,5.8,1.32E-22
5.9,1.34E-22,5.9,1.33E-22
6,1.34E-22,6,1.33E-22
6.1,1.35E-22,6.1,1.34E-22
6.2,1.35E-22,6.2,1.34E-22
6.3,1.36E-22,6.3,1.35E-22
6.4,1.36E-22,6.4,1.35E-22
6.5,1.37E-22,6.5,1.36E-22
6.6,1.37E-22,6.6,1.36E-22
6.7,1.38E-22,6.7,1.37E-22
6.8,1.38E-22,6.8,1.37E-22
6.9,1.39E-22,6.9,1.38E-22
7,1.39E-22,7,1.38E-22
7.1,1.40E-22,7.1,1.39E-22
7.2,1.41E-22,7.2,1.40E-22
7.3,1.41E-22,7.3,1.40E-22
7.4,1.42E-22,7.4,1.41E-22
7.5,1.42E-22,7.5,1.41E-22
7.6,1.43E-22,7.6,1.42E-22
7.7,1.44E-22,7.7,1.43E-22
7.8,1.44E-22,7.8,1.43E-22
7.9,1.45E-22,7.9,1.44E-22
8,1.46E-22,8,1.45E-22
8.1,1.46E-22,8.1,1.45E-22
8.2,1.47E-22,8.2,1.46E-22
8.3,1.48E-22,8.3,1.47E-22
8.4,1.49E-22,8.4,1.47E-22
8.5,1.49E-22,8.5,1.48E-22
8.6,1.50E-22,8.6,1.49E-22
8.7,1.51E-22,8.7,1.50E-22
8.8,1.52E-22,8.8,1.50E-22
8.9,1.52E-22,8.9,1.51E-22
9,1.53E-22,9,1.52E-22
9.1,1.54E-22,9.1,1.53E-22
9.2,1.55E-22,9.2,1.54E-22
9.3,1.56E-22,9.3,1.54E-22
9.4,1.56E-22,9.4,1.55E-22
9.5,1.57E-22,9.5,1.56E-22
9.6,1.58E-22,9.6,1.57E-22
9.7,1.59E-22,9.7,1.58E-22
9.8,1.60E-22,9.8,1.59E-22
9.9,1.61E-22,9.9,1.60E-22
10,1.62E-22,10,1.61E-22
10.1,1.63E-22,10.1,1.62E-22
10.2,1.64E-22,10.2,1.63E-22
10.3,1.65E-22,10.3,1.63E-22
10.4,1.66E-22,10.4,1.64E-22
10.5,1.67E-22,10.5,1.65E-22
10.6,1.68E-22,10.6,1.66E-22
10.7,1.69E-22,10.7,1.67E-22
10.8,1.70E-22,10.8,1.69E-22
10.9,1.71E-22,10.9,1.70E-22
11,1.72E-22,11,1.71E-22
11.1,1.73E-22,11.1,1.72E-22
11.2,1.74E-22,11.2,1.73E-22
11.3,1.75E-22,11.3,1.74E-22
11.4,1.76E-22,11.4,1.75E-22
11.5,1.77E-22,11.5,1.76E-22
11.6,1.79E-22,11.6,1.77E-22
11.7,1.80E-22,11.7,1.79E-22
11.8,1.81E-22,11.8,1.80E-22
11.9,1.82E-22,11.9,1.81E-22
12,1.83E-22,12,1.82E-22
12.1,1.85E-22,12.1,1.83E-22
12.2,1.86E-22,12.2,1.85E-22
12.3,1.87E-22,12.3,1.86E-22
12.4,1.89E-22,12.4,1.87E-22
12.5,1.90E-22,12.5,1.89E-22
12.6,1.91E-22,12.6,1.90E-22
12.7,1.93E-22,12.7,1.91E-22
12.8,1.94E-22,12.8,1.93E-22
12.9,1.95E-22,12.9,1.94E-22
13,1.97E-22,13,1.96E-22
13.1,1.98E-22,13.1,1.97E-22
13.2,2.00E-22,13.2,1.98E-22
13.3,2.01E-22,13.3,2.00E-22
13.4,2.03E-22,13.4,2.01E-22
13.5,2.04E-22,13.5,2.03E-22
13.6,2.06E-22,13.6,2.04E-22
13.7,2.07E-22,13.7,2.06E-22
13.8,2.09E-22,13.8,2.08E-22
13.9,2.11E-22,13.9,2.09E-22
14,2.12E-22,14,2.11E-22
14.1,2.14E-22,14.1,2.13E-22
14.2,2.16E-22,14.2,2.14E-22
14.3,2.17E-22,14.3,2.16E-22
14.4,2.19E-22,14.4,2.18E-22
14.5,2.21E-22,14.5,2.19E-22
14.6,2.23E-22,14.6,2.21E-22
14.7,2.24E-22,14.7,2.23E-22
14.8,2.26E-22,14.8,2.25E-22
14.9,2.28E-22,14.9,2.27E-22
15,2.30E-22,15,2.29E-22
15.1,2.32E-22,15.1,2.30E-22
15.2,2.34E-22,15.2,2.32E-22
15.3,2.36E-22,15.3,2.34E-22
15.4,2.38E-22,15.4,2.36E-22
15.5,2.40E-22,15.5,2.38E-22
15.6,2.42E-22,15.6,2.40E-22
15.7,2.44E-22,15.7,2.42E-22
15.8,2.46E-22,15.8,2.44E-22
15.9,2.48E-22,15.9,2.47E-22
16,2.50E-22,16,2.49E-22
16.1,2.53E-22,16.1,2.51E-22
16.2,2.55E-22,16.2,2.53E-22
16.3,2.57E-22,16.3,2.55E-22
16.4,2.59E-22,16.4,2.58E-22
16.5,2.62E-22,16.5,2.60E-22
16.6,2.64E-22,16.6,2.62E-22
16.7,2.66E-22,16.7,2.65E-22
16.8,2.69E-22,16.8,2.67E-22
16.9,2.71E-22,16.9,2.70E-22
17,2.74E-22,17,2.72E-22
17.1,2.76E-22,17.1,2.75E-22
17.2,2.79E-22,17.2,2.77E-22
17.3,2.81E-22,17.3,2.80E-22
17.4,2.84E-22,17.4,2.82E-22
17.5,2.87E-22,17.5,2.85E-22
17.6,2.89E-22,17.6,2.88E-22
17.7,2.92E-22,17.7,2.90E-22
17.8,2.95E-22,17.8,2.93E-22
17.9,2.98E-22,17.9,2.96E-22
18,3.01E-22,18,2.99E-22
18.1,3.04E-22,18.1,3.02E-22
18.2,3.06E-22,18.2,3.05E-22
18.3,3.09E-22,18.3,3.08E-22
18.4,3.12E-22,18.4,3.11E-22
18.5,3.16E-22,18.5,3.14E-22
18.6,3.19E-22,18.6,3.17E-22
18.7,3.22E-22,18.7,3.20E-22
