Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,4.93E-22,0,4.90E-22
0.1,9.86E-22,0.1,9.79E-22
0.2,9.86E-22,0.2,9.79E-22
0.3,9.87E-22,0.3,9.80E-22
0.4,9.87E-22,0.4,9.80E-22
0.5,9.87E-22,0.5,9.80E-22
0.6,9.87E-22,0.6,9.80E-22
0.7,9.88E-22,0.7,9.81E-22
0.8,9.88E-22,0.8,9.81E-22
0.9,9.89E-22,0.9,9.82E-22
1,9.89E-22,1,9.82E-22
1.1,9.90E-22,1.1,9.83E-22
1.2,9.90E-22,1.2,9.83E-22
1.3,9.91E-22,1.3,9.84E-22
1.4,9.92E-22,1.4,9.85E-22
1.5,9.93E-22,1.5,9.86E-22
1.6,9.93E-22,1.6,9.86E-22
1.7,9.94E-22,1.7,9.87E-22
1.8,9.95E-22,1.8,9.88E-22
1.9,9.96E-22,1.9,9.89E-22
2,9.98E-22,2,9.91E-22
2.1,9.99E-22,2.1,9.92E-22
2.2,1.00E-21,2.2,9.93E-22
2.3,1.00E-21,2.3,9.94E-22
2.4,1.00E-21,2.4,9.95E-22
2.5,1.00E-21,2.5,9.97E-22
2.6,1.01E-21,2.6,9.98E-22
2.7,1.01E-21,2.7,1.00E-21
2.8,1.01E-21,2.8,1.00E-21
2.9,1.01E-21,2.9,1.00E-21
3,1.01E-21,3,1.00E-21
3.1,1.01E-21,3.1,1.01E-21
3.2,1.02E-21,3.2,1.01E-21
3.3,1.02E-21,3.3,1.01E-21
3.4,1.02E-21,3.4,1.01E-21
3.5,1.02E-21,3.5,1.01E-21
3.6,1.02E-21,3.6,1.02E-21
3.7,1.02E-21,3.7,1.02E-21
3.8,1.03E-21,3.8,1.02E-21
3.9,1.03E-21,3.9,1.02E-21
4,1.03E-21,4,1.02E-21
4.1,1.03E-21,4.1,1.03E-21
4.2,1.04E-21,4.2,1.03E-21
4.3,1.04E-21,4.3,1.03E-21
4.4,1.04E-21,4.4,1.03E-21
4.5,1.04E-21,4.5,1.04E-21
4.6,1.05E-21,4.6,1.04E-21
4.7,1.05E-21,4.7,1.04E-21
4.8,1.05E-21,4.8,1.04E-21
4.9,1.05E-21,4.9,1.05E-21
5,1.06E-21,5,1.05E-21
5.1,1.06E-21,5.1,1.05E-21
5.2,1.06E-21,5.2,1.05E-21
5.3,1.06E-21,5.3,1.06E-21
5.4,1.07E-21,5.4,1.06E-21
5.5,1.07E-21,5.5,1.06E-21
5.6,1.07E-21,5.6,1.07E-21
5.7,1.08E-21,5.7,1.07E-21
5.8,1.08E-21,5.8,1.07E-21
