Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.95E-20,0,2.96E-20
0.1,5.91E-20,0.1,5.91E-20
0.2,5.91E-20,0.2,5.91E-20
0.3,5.91E-20,0.3,5.91E-20
0.4,5.91E-20,0.4,5.91E-20
0.5,5.91E-20,0.5,5.91E-20
0.6,5.91E-20,0.6,5.91E-20
0.7,5.91E-20,0.7,5.92E-20
0.8,5.92E-20,0.8,5.92E-20
0.9,5.92E-20,0.9,5.92E-20
1,5.92E-20,1,5.92E-20
1.1,5.92E-20,1.1,5.92E-20
1.2,5.92E-20,1.2,5.93E-20
1.3,5.93E-20,1.3,5.93E-20
1.4,5.93E-20,1.4,5.93E-20
1.5,5.93E-20,1.5,5.93E-20
1.6,5.94E-20,1.6,5.94E-20
1.7,5.94E-20,1.7,5.94E-20
1.8,5.94E-20,1.8,5.94E-20
1.9,5.95E-20,1.9,5.95E-20
2,5.95E-20,2,5.95E-20
2.1,5.96E-20,2.1,5.96E-20
2.2,5.96E-20,2.2,5.96E-20
2.3,5.97E-20,2.3,5.97E-20
2.4,5.97E-20,2.4,5.97E-20
2.5,5.98E-20,2.5,5.98E-20
2.6,5.98E-20,2.6,5.98E-20
2.7,5.99E-20,2.7,5.99E-20
2.8,5.99E-20,2.8,5.99E-20
2.9,6.00E-20,2.9,6.00E-20
3,6.01E-20,3,6.01E-20
3.1,6.01E-20,3.1,6.01E-20
3.2,6.02E-20,3.2,6.02E-20
3.3,6.03E-20,3.3,6.03E-20
3.4,6.03E-20,3.4,6.03E-20
3.5,6.04E-20,3.5,6.04E-20
3.6,6.05E-20,3.6,6.05E-20
3.7,6.06E-20,3.7,6.06E-20
3.8,6.06E-20,3.8,6.07E-20
3.9,6.07E-20,3.9,6.07E-20
4,6.08E-20,4,6.08E-20
4.1,6.09E-20,4.1,6.09E-20
4.2,6.10E-20,4.2,6.10E-20
4.3,6.11E-20,4.3,6.11E-20
