Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.53E-20,0,1.53E-20
0.1,3.06E-20,0.1,3.06E-20
0.2,3.06E-20,0.2,3.06E-20
0.3,3.06E-20,0.3,3.06E-20
0.4,3.06E-20,0.4,3.06E-20
0.5,3.07E-20,0.5,3.06E-20
0.6,3.07E-20,0.6,3.06E-20
0.7,3.07E-20,0.7,3.07E-20
0.8,3.07E-20,0.8,3.07E-20
0.9,3.07E-20,0.9,3.07E-20
1,3.07E-20,1,3.07E-20
1.1,3.07E-20,1.1,3.07E-20
1.2,3.07E-20,1.2,3.07E-20
1.3,3.08E-20,1.3,3.08E-20
1.4,3.08E-20,1.4,3.08E-20
1.5,3.08E-20,1.5,3.08E-20
1.6,3.08E-20,1.6,3.08E-20
1.7,3.09E-20,1.7,3.08E-20
1.8,3.09E-20,1.8,3.09E-20
1.9,3.09E-20,1.9,3.09E-20
2,3.09E-20,2,3.09E-20
2.1,3.10E-20,2.1,3.10E-20
2.2,3.10E-20,2.2,3.10E-20
2.3,3.10E-20,2.3,3.10E-20
2.4,3.11E-20,2.4,3.11E-20
2.5,3.11E-20,2.5,3.11E-20
2.6,3.12E-20,2.6,3.11E-20
2.7,3.12E-20,2.7,3.12E-20
2.8,3.13E-20,2.8,3.12E-20
2.9,3.13E-20,2.9,3.13E-20
3,3.13E-20,3,3.13E-20
3.1,3.14E-20,3.1,3.14E-20
3.2,3.14E-20,3.2,3.14E-20
3.3,3.15E-20,3.3,3.15E-20
3.4,3.15E-20,3.4,3.15E-20
3.5,3.16E-20,3.5,3.16E-20
3.6,3.17E-20,3.6,3.16E-20
3.7,3.17E-20,3.7,3.17E-20
3.8,3.18E-20,3.8,3.18E-20
3.9,3.18E-20,3.9,3.18E-20
4,3.19E-20,4,3.19E-20
4.1,3.20E-20,4.1,3.19E-20
4.2,3.20E-20,4.2,3.20E-20
4.3,3.21E-20,4.3,3.21E-20
4.4,3.22E-20,4.4,3.22E-20
4.5,3.22E-20,4.5,3.22E-20
4.6,3.23E-20,4.6,3.23E-20
4.7,3.24E-20,4.7,3.24E-20
4.8,3.25E-20,4.8,3.24E-20
4.9,3.25E-20,4.9,3.25E-20
5,3.26E-20,5,3.26E-20
5.1,3.27E-20,5.1,3.27E-20
5.2,3.28E-20,5.2,3.28E-20
5.3,3.29E-20,5.3,3.29E-20
5.4,3.30E-20,5.4,3.29E-20
5.5,3.31E-20,5.5,3.30E-20
5.6,3.31E-20,5.6,3.31E-20
5.7,3.32E-20,5.7,3.32E-20
5.8,3.33E-20,5.8,3.33E-20
5.9,3.34E-20,5.9,3.34E-20
6,3.35E-20,6,3.35E-20
6.1,3.36E-20,6.1,3.36E-20
6.2,3.37E-20,6.2,3.37E-20
6.3,3.38E-20,6.3,3.38E-20
6.4,3.39E-20,6.4,3.39E-20
6.5,3.40E-20,6.5,3.40E-20
6.6,3.42E-20,6.6,3.41E-20
6.7,3.43E-20,6.7,3.42E-20
6.8,3.44E-20,6.8,3.44E-20
