Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.48E-22,0,1.48E-22
0.1,2.96E-22,0.1,2.96E-22
0.2,2.96E-22,0.2,2.96E-22
0.3,2.96E-22,0.3,2.96E-22
0.4,2.96E-22,0.4,2.96E-22
0.5,2.96E-22,0.5,2.97E-22
0.6,2.96E-22,0.6,2.97E-22
0.7,2.97E-22,0.7,2.97E-22
0.8,2.97E-22,0.8,2.97E-22
0.9,2.97E-22,0.9,2.98E-22
1,2.97E-22,1,2.98E-22
1.1,2.98E-22,1.1,2.98E-22
1.2,2.98E-22,1.2,2.99E-22
1.3,2.99E-22,1.3,2.99E-22
1.4,2.99E-22,1.4,2.99E-22
1.5,2.99E-22,1.5,3.00E-22
1.6,3.00E-22,1.6,3.00E-22
1.7,3.00E-22,1.7,3.01E-22
1.8,3.01E-22,1.8,3.01E-22
1.9,3.02E-22,1.9,3.02E-22
2,3.02E-22,2,3.03E-22
2.1,3.03E-22,2.1,3.03E-22
2.2,3.04E-22,2.2,3.04E-22
2.3,3.04E-22,2.3,3.05E-22
2.4,3.05E-22,2.4,3.05E-22
2.5,3.06E-22,2.5,3.06E-22
2.6,3.07E-22,2.6,3.07E-22
2.7,3.08E-22,2.7,3.08E-22
2.8,3.08E-22,2.8,3.09E-22
2.9,3.09E-22,2.9,3.10E-22
3,3.10E-22,3,3.11E-22
3.1,3.11E-22,3.1,3.12E-22
3.2,3.12E-22,3.2,3.13E-22
3.3,3.13E-22,3.3,3.14E-22
3.4,3.14E-22,3.4,3.15E-22
3.5,3.16E-22,3.5,3.16E-22
3.6,3.17E-22,3.6,3.17E-22
3.7,3.18E-22,3.7,3.18E-22
3.8,3.19E-22,3.8,3.20E-22
3.9,3.20E-22,3.9,3.21E-22
4,3.22E-22,4,3.22E-22
4.1,3.23E-22,4.1,3.23E-22
4.2,3.24E-22,4.2,3.25E-22
4.3,3.26E-22,4.3,3.26E-22
4.4,3.27E-22,4.4,3.28E-22
4.5,3.29E-22,4.5,3.29E-22
4.6,3.30E-22,4.6,3.31E-22
4.7,3.32E-22,4.7,3.32E-22
4.8,3.33E-22,4.8,3.34E-22
4.9,3.35E-22,4.9,3.35E-22
5,3.37E-22,5,3.37E-22
5.1,3.38E-22,5.1,3.39E-22
5.2,3.40E-22,5.2,3.40E-22
5.3,3.42E-22,5.3,3.42E-22
5.4,3.43E-22,5.4,3.44E-22
5.5,3.45E-22,5.5,3.46E-22
5.6,3.47E-22,5.6,3.48E-22
5.7,3.49E-22,5.7,3.49E-22
5.8,3.51E-22,5.8,3.51E-22
5.9,3.53E-22,5.9,3.53E-22
6,3.55E-22,6,3.55E-22
6.1,3.57E-22,6.1,3.57E-22
6.2,3.59E-22,6.2,3.60E-22
6.3,3.61E-22,6.3,3.62E-22
6.4,3.63E-22,6.4,3.64E-22
6.5,3.65E-22,6.5,3.66E-22
6.6,3.68E-22,6.6,3.68E-22
6.7,3.70E-22,6.7,3.70E-22
6.8,3.72E-22,6.8,3.73E-22
6.9,3.75E-22,6.9,3.75E-22
7,3.77E-22,7,3.78E-22
7.1,3.79E-22,7.1,3.80E-22
7.2,3.82E-22,7.2,3.82E-22
7.3,3.84E-22,7.3,3.85E-22
7.4,3.87E-22,7.4,3.87E-22
7.5,3.89E-22,7.5,3.90E-22
7.6,3.92E-22,7.6,3.93E-22
7.7,3.95E-22,7.7,3.95E-22
7.8,3.97E-22,7.8,3.98E-22
7.9,4.00E-22,7.9,4.01E-22
8,4.03E-22,8,4.04E-22
8.1,4.06E-22,8.1,4.06E-22
8.2,4.09E-22,8.2,4.09E-22
8.3,4.12E-22,8.3,4.12E-22
8.4,4.14E-22,8.4,4.15E-22
8.5,4.17E-22,8.5,4.18E-22
8.6,4.20E-22,8.6,4.21E-22
8.7,4.24E-22,8.7,4.24E-22
8.8,4.27E-22,8.8,4.27E-22
8.9,4.30E-22,8.9,4.31E-22
9,4.33E-22,9,4.34E-22
9.1,4.36E-22,9.1,4.37E-22
9.2,4.40E-22,9.2,4.40E-22
9.3,4.43E-22,9.3,4.44E-22
9.4,4.46E-22,9.4,4.47E-22
9.5,4.50E-22,9.5,4.50E-22
9.6,4.53E-22,9.6,4.54E-22
9.7,4.57E-22,9.7,4.57E-22
9.8,4.60E-22,9.8,4.61E-22
9.9,4.64E-22,9.9,4.65E-22
10,4.68E-22,10,4.68E-22
10.1,4.71E-22,10.1,4.72E-22
10.2,4.75E-22,10.2,4.76E-22
10.3,4.79E-22,10.3,4.80E-22
10.4,4.83E-22,10.4,4.83E-22
10.5,4.87E-22,10.5,4.87E-22
10.6,4.91E-22,10.6,4.91E-22
10.7,4.95E-22,10.7,4.95E-22
10.8,4.99E-22,10.8,4.99E-22
10.9,5.03E-22,10.9,5.04E-22
11,5.07E-22,11,5.08E-22
11.1,5.11E-22,11.1,5.12E-22
11.2,5.15E-22,11.2,5.16E-22
11.3,5.20E-22,11.3,5.20E-22
11.4,5.24E-22,11.4,5.25E-22
11.5,5.28E-22,11.5,5.29E-22
11.6,5.33E-22,11.6,5.34E-22
11.7,5.37E-22,11.7,5.38E-22
11.8,5.42E-22,11.8,5.43E-22
11.9,5.46E-22,11.9,5.47E-22
12,5.51E-22,12,5.52E-22
12.1,5.56E-22,12.1,5.57E-22
12.2,5.61E-22,12.2,5.62E-22
12.3,5.66E-22,12.3,5.66E-22
12.4,5.70E-22,12.4,5.71E-22
12.5,5.75E-22,12.5,5.76E-22
12.6,5.80E-22,12.6,5.81E-22
12.7,5.85E-22,12.7,5.86E-22
12.8,5.91E-22,12.8,5.92E-22
12.9,5.96E-22,12.9,5.97E-22
13,6.01E-22,13,6.02E-22
13.1,6.06E-22,13.1,6.07E-22
13.2,6.12E-22,13.2,6.13E-22
13.3,6.17E-22,13.3,6.18E-22
13.4,6.23E-22,13.4,6.24E-22
13.5,6.28E-22,13.5,6.29E-22
13.6,6.34E-22,13.6,6.35E-22
