Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.59E-22,0,2.60E-22
0.1,5.18E-22,0.1,5.19E-22
0.2,5.18E-22,0.2,5.19E-22
0.3,5.19E-22,0.3,5.20E-22
0.4,5.19E-22,0.4,5.20E-22
0.5,5.20E-22,0.5,5.21E-22
0.6,5.20E-22,0.6,5.21E-22
0.7,5.21E-22,0.7,5.22E-22
0.8,5.22E-22,0.8,5.23E-22
0.9,5.23E-22,0.9,5.24E-22
1,5.24E-22,1,5.26E-22
1.1,5.26E-22,1.1,5.27E-22
1.2,5.27E-22,1.2,5.28E-22
1.3,5.29E-22,1.3,5.30E-22
1.4,5.31E-22,1.4,5.32E-22
1.5,5.32E-22,1.5,5.34E-22
1.6,5.34E-22,1.6,5.36E-22
1.7,5.37E-22,1.7,5.38E-22
1.8,5.39E-22,1.8,5.40E-22
1.9,5.41E-22,1.9,5.42E-22
2,5.44E-22,2,5.45E-22
2.1,5.46E-22,2.1,5.47E-22
2.2,5.49E-22,2.2,5.50E-22
2.3,5.52E-22,2.3,5.53E-22
2.4,5.55E-22,2.4,5.56E-22
2.5,5.58E-22,2.5,5.59E-22
2.6,5.61E-22,2.6,5.63E-22
2.7,5.65E-22,2.7,5.66E-22
2.8,5.68E-22,2.8,5.70E-22
2.9,5.72E-22,2.9,5.73E-22
3,5.76E-22,3,5.77E-22
3.1,5.80E-22,3.1,5.81E-22
3.2,5.84E-22,3.2,5.85E-22
3.3,5.88E-22,3.3,5.89E-22
3.4,5.93E-22,3.4,5.94E-22
3.5,5.97E-22,3.5,5.98E-22
3.6,6.02E-22,3.6,6.03E-22
3.7,6.07E-22,3.7,6.08E-22
3.8,6.11E-22,3.8,6.13E-22
3.9,6.17E-22,3.9,6.18E-22
4,6.22E-22,4,6.23E-22
4.1,6.27E-22,4.1,6.28E-22
4.2,6.32E-22,4.2,6.34E-22
4.3,6.38E-22,4.3,6.39E-22
4.4,6.44E-22,4.4,6.45E-22
4.5,6.50E-22,4.5,6.51E-22
4.6,6.56E-22,4.6,6.57E-22
4.7,6.62E-22,4.7,6.63E-22
4.8,6.68E-22,4.8,6.69E-22
4.9,6.75E-22,4.9,6.76E-22
5,6.81E-22,5,6.82E-22
5.1,6.88E-22,5.1,6.89E-22
5.2,6.95E-22,5.2,6.96E-22
5.3,7.02E-22,5.3,7.03E-22
5.4,7.09E-22,5.4,7.10E-22
5.5,7.16E-22,5.5,7.18E-22
5.6,7.24E-22,5.6,7.25E-22
5.7,7.31E-22,5.7,7.33E-22
5.8,7.39E-22,5.8,7.40E-22
5.9,7.47E-22,5.9,7.48E-22
6,7.55E-22,6,7.56E-22
6.1,7.63E-22,6.1,7.65E-22
6.2,7.72E-22,6.2,7.73E-22
6.3,7.80E-22,6.3,7.81E-22
6.4,7.89E-22,6.4,7.90E-22
6.5,7.98E-22,6.5,7.99E-22
6.6,8.07E-22,6.6,8.08E-22
6.7,8.16E-22,6.7,8.17E-22
6.8,8.25E-22,6.8,8.26E-22
6.9,8.35E-22,6.9,8.36E-22
7,8.44E-22,7,8.45E-22
7.1,8.54E-22,7.1,8.55E-22
7.2,8.64E-22,7.2,8.65E-22
7.3,8.74E-22,7.3,8.75E-22
7.4,8.84E-22,7.4,8.86E-22
7.5,8.95E-22,7.5,8.96E-22
7.6,9.05E-22,7.6,9.07E-22
7.7,9.16E-22,7.7,9.17E-22
7.8,9.27E-22,7.8,9.28E-22
7.9,9.38E-22,7.9,9.39E-22
8,9.49E-22,8,9.51E-22
8.1,9.61E-22,8.1,9.62E-22
8.2,9.72E-22,8.2,9.74E-22
8.3,9.84E-22,8.3,9.85E-22
8.4,9.96E-22,8.4,9.97E-22
8.5,1.01E-21,8.5,1.01E-21
8.6,1.02E-21,8.6,1.02E-21
8.7,1.03E-21,8.7,1.03E-21
8.8,1.05E-21,8.8,1.05E-21
8.9,1.06E-21,8.9,1.06E-21
9,1.07E-21,9,1.07E-21
9.1,1.08E-21,9.1,1.09E-21
9.2,1.10E-21,9.2,1.10E-21
9.3,1.11E-21,9.3,1.11E-21
9.4,1.13E-21,9.4,1.13E-21
9.5,1.14E-21,9.5,1.14E-21
9.6,1.15E-21,9.6,1.15E-21
9.7,1.17E-21,9.7,1.17E-21
9.8,1.18E-21,9.8,1.18E-21
9.9,1.20E-21,9.9,1.20E-21
10,1.21E-21,10,1.21E-21
10.1,1.23E-21,10.1,1.23E-21
10.2,1.24E-21,10.2,1.24E-21
10.3,1.26E-21,10.3,1.26E-21
10.4,1.27E-21,10.4,1.27E-21
10.5,1.29E-21,10.5,1.29E-21
10.6,1.31E-21,10.6,1.31E-21
10.7,1.32E-21,10.7,1.32E-21
10.8,1.34E-21,10.8,1.34E-21
10.9,1.36E-21,10.9,1.36E-21
11,1.37E-21,11,1.37E-21
11.1,1.39E-21,11.1,1.39E-21
11.2,1.41E-21,11.2,1.41E-21
11.3,1.42E-21,11.3,1.43E-21
11.4,1.44E-21,11.4,1.44E-21
11.5,1.46E-21,11.5,1.46E-21
11.6,1.48E-21,11.6,1.48E-21
11.7,1.50E-21,11.7,1.50E-21
11.8,1.52E-21,11.8,1.52E-21
11.9,1.53E-21,11.9,1.54E-21
12,1.55E-21,12,1.56E-21
12.1,1.57E-21,12.1,1.57E-21
12.2,1.59E-21,12.2,1.59E-21
12.3,1.61E-21,12.3,1.61E-21
12.4,1.63E-21,12.4,1.63E-21
12.5,1.65E-21,12.5,1.66E-21
12.6,1.67E-21,12.6,1.68E-21
12.7,1.69E-21,12.7,1.70E-21
12.8,1.72E-21,12.8,1.72E-21
12.9,1.74E-21,12.9,1.74E-21
13,1.76E-21,13,1.76E-21
13.1,1.78E-21,13.1,1.78E-21
13.2,1.80E-21,13.2,1.80E-21
13.3,1.83E-21,13.3,1.83E-21
13.4,1.85E-21,13.4,1.85E-21
13.5,1.87E-21,13.5,1.87E-21
13.6,1.89E-21,13.6,1.90E-21
13.7,1.92E-21,13.7,1.92E-21
13.8,1.94E-21,13.8,1.94E-21
13.9,1.97E-21,13.9,1.97E-21
14,1.99E-21,14,1.99E-21
14.1,2.01E-21,14.1,2.02E-21
14.2,2.04E-21,14.2,2.04E-21
14.3,2.06E-21,14.3,2.07E-21
14.4,2.09E-21,14.4,2.09E-21
14.5,2.12E-21,14.5,2.12E-21
14.6,2.14E-21,14.6,2.14E-21
14.7,2.17E-21,14.7,2.17E-21
14.8,2.19E-21,14.8,2.20E-21
14.9,2.22E-21,14.9,2.22E-21
15,2.25E-21,15,2.25E-21
15.1,2.28E-21,15.1,2.28E-21
15.2,2.30E-21,15.2,2.31E-21
15.3,2.33E-21,15.3,2.33E-21
15.4,2.36E-21,15.4,2.36E-21
15.5,2.39E-21,15.5,2.39E-21
15.6,2.42E-21,15.6,2.42E-21
15.7,2.45E-21,15.7,2.45E-21
15.8,2.48E-21,15.8,2.48E-21
15.9,2.51E-21,15.9,2.51E-21
16,2.54E-21,16,2.54E-21
16.1,2.57E-21,16.1,2.57E-21
16.2,2.60E-21,16.2,2.60E-21
16.3,2.63E-21,16.3,2.63E-21
16.4,2.66E-21,16.4,2.67E-21
16.5,2.70E-21,16.5,2.70E-21
16.6,2.73E-21,16.6,2.73E-21
16.7,2.76E-21,16.7,2.76E-21
16.8,2.80E-21,16.8,2.80E-21
16.9,2.83E-21,16.9,2.83E-21
17,2.86E-21,17,2.87E-21
17.1,2.90E-21,17.1,2.90E-21
17.2,2.93E-21,17.2,2.94E-21
17.3,2.97E-21,17.3,2.97E-21
17.4,3.00E-21,17.4,3.01E-21
17.5,3.04E-21,17.5,3.04E-21
17.6,3.08E-21,17.6,3.08E-21
17.7,3.11E-21,17.7,3.12E-21
17.8,3.15E-21,17.8,3.15E-21
17.9,3.19E-21,17.9,3.19E-21
18,3.23E-21,18,3.23E-21
18.1,3.27E-21,18.1,3.27E-21
18.2,3.30E-21,18.2,3.31E-21
18.3,3.34E-21,18.3,3.35E-21
18.4,3.38E-21,18.4,3.39E-21
18.5,3.42E-21,18.5,3.43E-21
18.6,3.46E-21,18.6,3.47E-21
18.7,3.51E-21,18.7,3.51E-21
18.8,3.55E-21,18.8,3.55E-21
18.9,3.59E-21,18.9,3.59E-21
19,3.63E-21,19,3.64E-21
19.1,3.68E-21,19.1,3.68E-21
19.2,3.72E-21,19.2,3.72E-21
19.3,3.76E-21,19.3,3.77E-21
19.4,3.81E-21,19.4,3.81E-21
19.5,3.85E-21,19.5,3.86E-21
19.6,3.90E-21,19.6,3.90E-21
19.7,3.95E-21,19.7,3.95E-21
19.8,3.99E-21,19.8,3.99E-21
19.9,4.04E-21,19.9,4.04E-21
20,4.09E-21,20,4.09E-21
20.1,4.14E-21,20.1,4.14E-21
20.2,4.18E-21,20.2,4.19E-21
20.3,4.23E-21,20.3,4.24E-21
20.4,4.28E-21,20.4,4.29E-21
20.5,4.33E-21,20.5,4.34E-21
20.6,4.38E-21,20.6,4.39E-21
20.7,4.44E-21,20.7,4.44E-21
20.8,4.49E-21,20.8,4.49E-21
20.9,4.54E-21,20.9,4.54E-21
21,4.60E-21,21,4.60E-21
21.1,4.65E-21,21.1,4.65E-21
21.2,4.70E-21,21.2,4.71E-21
21.3,4.76E-21,21.3,4.77E-21
21.4,4.81E-21,21.4,4.81E-21
21.5,4.87E-21,21.5,4.88E-21
21.6,4.93E-21,21.6,4.93E-21
21.7,4.99E-21,21.7,4.99E-21
21.8,5.04E-21,21.8,5.05E-21
21.9,5.10E-21,21.9,5.11E-21
22,5.16E-21,22,5.16E-21
22.1,5.23E-21,22.1,5.23E-21
22.2,5.27E-21,22.2,5.28E-21
22.3,5.35E-21,22.3,5.36E-21
22.4,5.40E-21,22.4,5.41E-21
22.5,5.48E-21,22.5,5.48E-21
22.6,5.53E-21,22.6,5.53E-21
22.7,5.61E-21,22.7,5.61E-21
22.8,5.66E-21,22.8,5.66E-21
22.9,5.75E-21,22.9,5.75E-21
23,5.77E-21,23,5.77E-21
23.1,5.90E-21,23.1,5.91E-21
23.2,5.90E-21,23.2,5.91E-21
23.3,6.03E-21,23.3,6.04E-21
23.4,6.05E-21,23.4,6.06E-21
23.5,6.16E-21,23.5,6.16E-21
