Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,9.07E-22,0,9.08E-22
0.1,1.81E-21,0.1,1.82E-21
0.2,1.81E-21,0.2,1.82E-21
0.3,1.81E-21,0.3,1.82E-21
0.4,1.82E-21,0.4,1.82E-21
0.5,1.82E-21,0.5,1.82E-21
0.6,1.82E-21,0.6,1.82E-21
0.7,1.82E-21,0.7,1.82E-21
0.8,1.82E-21,0.8,1.82E-21
0.9,1.82E-21,0.9,1.82E-21
1,1.82E-21,1,1.82E-21
1.1,1.82E-21,1.1,1.82E-21
1.2,1.82E-21,1.2,1.82E-21
1.3,1.82E-21,1.3,1.82E-21
1.4,1.82E-21,1.4,1.82E-21
1.5,1.82E-21,1.5,1.82E-21
1.6,1.83E-21,1.6,1.83E-21
1.7,1.83E-21,1.7,1.83E-21
1.8,1.83E-21,1.8,1.83E-21
1.9,1.83E-21,1.9,1.83E-21
2,1.83E-21,2,1.83E-21
2.1,1.83E-21,2.1,1.83E-21
2.2,1.84E-21,2.2,1.84E-21
2.3,1.84E-21,2.3,1.84E-21
2.4,1.84E-21,2.4,1.84E-21
2.5,1.84E-21,2.5,1.84E-21
2.6,1.84E-21,2.6,1.84E-21
2.7,1.85E-21,2.7,1.85E-21
2.8,1.85E-21,2.8,1.85E-21
2.9,1.85E-21,2.9,1.85E-21
3,1.85E-21,3,1.85E-21
3.1,1.86E-21,3.1,1.86E-21
3.2,1.86E-21,3.2,1.86E-21
3.3,1.86E-21,3.3,1.86E-21
3.4,1.86E-21,3.4,1.86E-21
3.5,1.87E-21,3.5,1.87E-21
3.6,1.87E-21,3.6,1.87E-21
3.7,1.87E-21,3.7,1.87E-21
3.8,1.88E-21,3.8,1.88E-21
3.9,1.88E-21,3.9,1.88E-21
4,1.88E-21,4,1.88E-21
4.1,1.89E-21,4.1,1.89E-21
4.2,1.89E-21,4.2,1.89E-21
4.3,1.89E-21,4.3,1.90E-21
4.4,1.90E-21,4.4,1.90E-21
4.5,1.90E-21,4.5,1.90E-21
4.6,1.91E-21,4.6,1.91E-21
4.7,1.91E-21,4.7,1.91E-21
4.8,1.91E-21,4.8,1.92E-21
4.9,1.92E-21,4.9,1.92E-21
5,1.92E-21,5,1.92E-21
5.1,1.93E-21,5.1,1.93E-21
5.2,1.93E-21,5.2,1.93E-21
5.3,1.94E-21,5.3,1.94E-21
5.4,1.94E-21,5.4,1.94E-21
5.5,1.95E-21,5.5,1.95E-21
5.6,1.95E-21,5.6,1.95E-21
