Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,3.00E-20,0,3.00E-20
0.1,6.00E-20,0.1,6.00E-20
0.2,6.00E-20,0.2,6.00E-20
0.3,6.00E-20,0.3,6.00E-20
0.4,6.00E-20,0.4,6.00E-20
0.5,6.00E-20,0.5,6.01E-20
0.6,6.00E-20,0.6,6.01E-20
0.7,6.01E-20,0.7,6.01E-20
0.8,6.01E-20,0.8,6.01E-20
0.9,6.01E-20,0.9,6.02E-20
1,6.02E-20,1,6.02E-20
1.1,6.02E-20,1.1,6.03E-20
1.2,6.03E-20,1.2,6.03E-20
1.3,6.03E-20,1.3,6.04E-20
1.4,6.04E-20,1.4,6.05E-20
1.5,6.05E-20,1.5,6.05E-20
1.6,6.05E-20,1.6,6.06E-20
1.7,6.06E-20,1.7,6.07E-20
1.8,6.07E-20,1.8,6.08E-20
1.9,6.08E-20,1.9,6.08E-20
2,6.09E-20,2,6.09E-20
2.1,6.10E-20,2.1,6.10E-20
2.2,6.11E-20,2.2,6.11E-20
2.3,6.12E-20,2.3,6.12E-20
2.4,6.13E-20,2.4,6.13E-20
2.5,6.14E-20,2.5,6.15E-20
2.6,6.15E-20,2.6,6.16E-20
2.7,6.17E-20,2.7,6.17E-20
2.8,6.18E-20,2.8,6.18E-20
2.9,6.19E-20,2.9,6.20E-20
3,6.21E-20,3,6.21E-20
3.1,6.22E-20,3.1,6.23E-20
3.2,6.24E-20,3.2,6.24E-20
3.3,6.25E-20,3.3,6.26E-20
3.4,6.27E-20,3.4,6.27E-20
3.5,6.28E-20,3.5,6.29E-20
3.6,6.30E-20,3.6,6.31E-20
3.7,6.32E-20,3.7,6.32E-20
3.8,6.34E-20,3.8,6.34E-20
3.9,6.35E-20,3.9,6.36E-20
4,6.37E-20,4,6.38E-20
4.1,6.39E-20,4.1,6.40E-20
4.2,6.41E-20,4.2,6.42E-20
4.3,6.43E-20,4.3,6.44E-20
4.4,6.45E-20,4.4,6.46E-20
4.5,6.48E-20,4.5,6.48E-20
4.6,6.50E-20,4.6,6.50E-20
4.7,6.52E-20,4.7,6.52E-20
4.8,6.54E-20,4.8,6.55E-20
4.9,6.57E-20,4.9,6.57E-20
5,6.59E-20,5,6.59E-20
5.1,6.61E-20,5.1,6.62E-20
5.2,6.64E-20,5.2,6.64E-20
5.3,6.67E-20,5.3,6.67E-20
5.4,6.69E-20,5.4,6.70E-20
5.5,6.72E-20,5.5,6.72E-20
5.6,6.74E-20,5.6,6.75E-20
5.7,6.77E-20,5.7,6.78E-20
5.8,6.80E-20,5.8,6.81E-20
5.9,6.83E-20,5.9,6.83E-20
6,6.86E-20,6,6.86E-20
6.1,6.89E-20,6.1,6.89E-20
