Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.90E-22,0,1.91E-22
0.1,3.81E-22,0.1,3.82E-22
0.2,3.81E-22,0.2,3.82E-22
0.3,3.81E-22,0.3,3.82E-22
0.4,3.81E-22,0.4,3.82E-22
0.5,3.81E-22,0.5,3.82E-22
0.6,3.81E-22,0.6,3.82E-22
0.7,3.81E-22,0.7,3.82E-22
0.8,3.81E-22,0.8,3.82E-22
0.9,3.81E-22,0.9,3.82E-22
1,3.81E-22,1,3.82E-22
1.1,3.81E-22,1.1,3.82E-22
1.2,3.81E-22,1.2,3.82E-22
1.3,3.81E-22,1.3,3.82E-22
1.4,3.81E-22,1.4,3.82E-22
1.5,3.81E-22,1.5,3.82E-22
1.6,3.82E-22,1.6,3.82E-22
1.7,3.82E-22,1.7,3.83E-22
1.8,3.82E-22,1.8,3.83E-22
1.9,3.82E-22,1.9,3.83E-22
2,3.82E-22,2,3.83E-22
2.1,3.82E-22,2.1,3.83E-22
2.2,3.82E-22,2.2,3.83E-22
2.3,3.82E-22,2.3,3.83E-22
2.4,3.83E-22,2.4,3.83E-22
2.5,3.83E-22,2.5,3.84E-22
2.6,3.83E-22,2.6,3.84E-22
2.7,3.83E-22,2.7,3.84E-22
2.8,3.83E-22,2.8,3.84E-22
2.9,3.83E-22,2.9,3.84E-22
3,3.84E-22,3,3.84E-22
3.1,3.84E-22,3.1,3.85E-22
3.2,3.84E-22,3.2,3.85E-22
3.3,3.84E-22,3.3,3.85E-22
3.4,3.84E-22,3.4,3.85E-22
3.5,3.85E-22,3.5,3.85E-22
3.6,3.85E-22,3.6,3.86E-22
3.7,3.85E-22,3.7,3.86E-22
3.8,3.85E-22,3.8,3.86E-22
3.9,3.86E-22,3.9,3.86E-22
4,3.86E-22,4,3.87E-22
4.1,3.86E-22,4.1,3.87E-22
4.2,3.86E-22,4.2,3.87E-22
4.3,3.87E-22,4.3,3.87E-22
4.4,3.87E-22,4.4,3.88E-22
4.5,3.87E-22,4.5,3.88E-22
4.6,3.87E-22,4.6,3.88E-22
4.7,3.88E-22,4.7,3.89E-22
4.8,3.88E-22,4.8,3.89E-22
4.9,3.88E-22,4.9,3.89E-22
5,3.89E-22,5,3.90E-22
5.1,3.89E-22,5.1,3.90E-22
5.2,3.89E-22,5.2,3.90E-22
5.3,3.90E-22,5.3,3.91E-22
5.4,3.90E-22,5.4,3.91E-22
5.5,3.90E-22,5.5,3.91E-22
5.6,3.91E-22,5.6,3.92E-22
5.7,3.91E-22,5.7,3.92E-22
5.8,3.91E-22,5.8,3.92E-22
5.9,3.92E-22,5.9,3.93E-22
6,3.92E-22,6,3.93E-22
6.1,3.93E-22,6.1,3.93E-22
6.2,3.93E-22,6.2,3.94E-22
6.3,3.93E-22,6.3,3.94E-22
6.4,3.94E-22,6.4,3.95E-22
6.5,3.94E-22,6.5,3.95E-22
6.6,3.95E-22,6.6,3.95E-22
6.7,3.95E-22,6.7,3.96E-22
6.8,3.95E-22,6.8,3.96E-22
6.9,3.96E-22,6.9,3.97E-22
7,3.96E-22,7,3.97E-22
7.1,3.97E-22,7.1,3.98E-22
7.2,3.97E-22,7.2,3.98E-22
7.3,3.98E-22,7.3,3.99E-22
7.4,3.98E-22,7.4,3.99E-22
7.5,3.99E-22,7.5,4.00E-22
7.6,3.99E-22,7.6,4.00E-22
7.7,4.00E-22,7.7,4.01E-22
7.8,4.00E-22,7.8,4.01E-22
7.9,4.01E-22,7.9,4.02E-22
8,4.01E-22,8,4.02E-22
8.1,4.02E-22,8.1,4.03E-22
8.2,4.02E-22,8.2,4.03E-22
8.3,4.03E-22,8.3,4.04E-22
8.4,4.03E-22,8.4,4.04E-22
8.5,4.04E-22,8.5,4.05E-22
8.6,4.05E-22,8.6,4.06E-22
8.7,4.05E-22,8.7,4.06E-22
8.8,4.06E-22,8.8,4.07E-22
8.9,4.06E-22,8.9,4.07E-22
9,4.07E-22,9,4.08E-22
9.1,4.08E-22,9.1,4.08E-22
9.2,4.08E-22,9.2,4.09E-22
9.3,4.09E-22,9.3,4.10E-22
9.4,4.09E-22,9.4,4.10E-22
9.5,4.10E-22,9.5,4.11E-22
9.6,4.11E-22,9.6,4.12E-22
9.7,4.11E-22,9.7,4.12E-22
9.8,4.12E-22,9.8,4.13E-22
9.9,4.13E-22,9.9,4.14E-22
10,4.13E-22,10,4.14E-22
10.1,4.14E-22,10.1,4.15E-22
10.2,4.15E-22,10.2,4.16E-22
10.3,4.16E-22,10.3,4.16E-22
10.4,4.16E-22,10.4,4.17E-22
10.5,4.17E-22,10.5,4.18E-22
10.6,4.18E-22,10.6,4.19E-22
10.7,4.18E-22,10.7,4.19E-22
10.8,4.19E-22,10.8,4.20E-22
10.9,4.20E-22,10.9,4.21E-22
11,4.21E-22,11,4.22E-22
11.1,4.21E-22,11.1,4.22E-22
11.2,4.22E-22,11.2,4.23E-22
11.3,4.23E-22,11.3,4.24E-22
11.4,4.24E-22,11.4,4.25E-22
11.5,4.25E-22,11.5,4.26E-22
11.6,4.25E-22,11.6,4.26E-22
11.7,4.26E-22,11.7,4.27E-22
11.8,4.27E-22,11.8,4.28E-22
11.9,4.28E-22,11.9,4.29E-22
12,4.29E-22,12,4.30E-22
12.1,4.30E-22,12.1,4.31E-22
12.2,4.31E-22,12.2,4.31E-22
12.3,4.31E-22,12.3,4.32E-22
12.4,4.32E-22,12.4,4.33E-22
12.5,4.33E-22,12.5,4.34E-22
