Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
14.5,1.91E-21,14.5,1.91E-21
14.6,1.94E-21,14.6,1.94E-21
14.7,1.97E-21,14.7,1.97E-21
14.8,2.01E-21,14.8,2.01E-21
14.9,2.04E-21,14.9,2.04E-21
15,2.07E-21,15,2.07E-21
15.1,2.10E-21,15.1,2.10E-21
15.2,2.14E-21,15.2,2.14E-21
15.3,2.17E-21,15.3,2.17E-21
15.4,2.20E-21,15.4,2.20E-21
15.5,2.24E-21,15.5,2.24E-21
15.6,2.27E-21,15.6,2.27E-21
15.7,2.31E-21,15.7,2.31E-21
15.8,2.34E-21,15.8,2.34E-21
15.9,2.38E-21,15.9,2.38E-21
16,2.41E-21,16,2.41E-21
16.1,2.45E-21,16.1,2.45E-21
16.2,2.49E-21,16.2,2.49E-21
16.3,2.52E-21,16.3,2.52E-21
16.4,2.56E-21,16.4,2.56E-21
16.5,2.60E-21,16.5,2.60E-21
16.6,2.64E-21,16.6,2.64E-21
16.7,2.68E-21,16.7,2.68E-21
16.8,2.72E-21,16.8,2.72E-21
16.9,2.76E-21,16.9,2.76E-21
17,2.80E-21,17,2.80E-21
17.1,2.84E-21,17.1,2.84E-21
17.2,2.88E-21,17.2,2.88E-21
17.3,2.92E-21,17.3,2.92E-21
17.4,2.96E-21,17.4,2.96E-21
17.5,3.01E-21,17.5,3.01E-21
17.6,3.05E-21,17.6,3.05E-21
17.7,3.09E-21,17.7,3.09E-21
17.8,3.14E-21,17.8,3.14E-21
17.9,3.18E-21,17.9,3.18E-21
18,3.23E-21,18,3.23E-21
18.1,3.27E-21,18.1,3.28E-21
18.2,3.32E-21,18.2,3.32E-21
18.3,3.37E-21,18.3,3.37E-21
18.4,3.42E-21,18.4,3.42E-21
18.5,3.46E-21,18.5,3.46E-21
18.6,3.51E-21,18.6,3.51E-21
18.7,3.56E-21,18.7,3.56E-21
18.8,3.61E-21,18.8,3.61E-21
18.9,3.66E-21,18.9,3.66E-21
19,3.71E-21,19,3.71E-21
19.1,3.76E-21,19.1,3.76E-21
19.2,3.82E-21,19.2,3.82E-21
19.3,3.87E-21,19.3,3.87E-21
19.4,3.92E-21,19.4,3.92E-21
19.5,3.98E-21,19.5,3.98E-21
19.6,4.03E-21,19.6,4.03E-21
19.7,4.09E-21,19.7,4.09E-21
19.8,4.14E-21,19.8,4.14E-21
19.9,4.20E-21,19.9,4.20E-21
20,4.25E-21,20,4.25E-21
20.1,4.31E-21,20.1,4.31E-21
20.2,4.37E-21,20.2,4.37E-21
20.3,4.43E-21,20.3,4.43E-21
20.4,4.49E-21,20.4,4.49E-21
20.5,4.55E-21,20.5,4.55E-21
20.6,4.61E-21,20.6,4.61E-21
20.7,4.67E-21,20.7,4.67E-21
20.8,4.74E-21,20.8,4.74E-21
20.9,4.80E-21,20.9,4.80E-21
21,4.86E-21,21,4.86E-21
21.1,4.93E-21,21.1,4.93E-21
21.2,4.99E-21,21.2,4.99E-21
21.3,5.06E-21,21.3,5.06E-21
21.4,5.12E-21,21.4,5.12E-21
21.5,5.19E-21,21.5,5.19E-21
21.6,5.26E-21,21.6,5.26E-21
21.7,5.33E-21,21.7,5.33E-21
21.8,5.40E-21,21.8,5.40E-21
21.9,5.47E-21,21.9,5.47E-21
22,5.55E-21,22,5.55E-21
22.1,5.62E-21,22.1,5.62E-21
22.2,5.69E-21,22.2,5.69E-21
22.3,5.76E-21,22.3,5.76E-21
22.4,5.84E-21,22.4,5.84E-21
22.5,5.92E-21,22.5,5.92E-21
22.6,5.99E-21,22.6,5.99E-21
22.7,6.07E-21,22.7,6.07E-21
22.8,6.14E-21,22.8,6.14E-21
22.9,6.23E-21,22.9,6.23E-21
23,6.32E-21,23,6.32E-21
23.1,6.39E-21,23.1,6.39E-21
23.2,6.46E-21,23.2,6.46E-21
23.3,6.56E-21,23.3,6.56E-21
23.4,6.64E-21,23.4,6.64E-21
23.5,6.73E-21,23.5,6.73E-21
23.6,6.79E-21,23.6,6.79E-21
23.7,6.93E-21,23.7,6.93E-21
23.8,6.98E-21,23.8,6.98E-21
23.9,7.08E-21,23.9,7.08E-21
24,7.17E-21,24,7.17E-21
24.1,7.27E-21,24.1,7.27E-21
24.2,7.36E-21,24.2,7.36E-21
24.3,7.45E-21,24.3,7.45E-21
24.4,7.52E-21,24.4,7.52E-21
24.5,7.66E-21,24.5,7.66E-21
24.6,7.73E-21,24.6,7.73E-21
24.7,7.84E-21,24.7,7.84E-21
24.8,7.92E-21,24.8,7.92E-21
24.9,8.02E-21,24.9,8.02E-21
25,8.16E-21,25,8.16E-21
25.1,8.24E-21,25.1,8.24E-21
25.2,8.35E-21,25.2,8.36E-21
25.3,8.43E-21,25.3,8.43E-21
25.4,8.58E-21,25.4,8.58E-21
25.5,8.66E-21,25.5,8.66E-21
25.6,8.82E-21,25.6,8.82E-21
25.7,8.74E-21,25.7,8.74E-21
25.8,9.12E-21,25.8,9.12E-21
25.9,9.08E-21,25.9,9.08E-21
26,9.16E-21,26,9.16E-21
26.1,9.37E-21,26.1,9.37E-21
26.2,9.58E-21,26.2,9.58E-21
26.3,9.51E-21,26.3,9.51E-21
26.4,9.75E-21,26.4,9.75E-21
26.5,9.75E-21,26.5,9.75E-21
26.6,9.99E-21,26.6,9.99E-21
26.7,1.01E-20,26.7,1.01E-20
26.8,1.00E-20,26.8,1.00E-20
26.9,1.04E-20,26.9,1.04E-20
27,1.04E-20,27,1.04E-20
27.1,1.03E-20,27.1,1.03E-20
27.2,1.12E-20,27.2,1.12E-20
27.3,1.07E-20,27.3,1.07E-20
27.4,1.11E-20,27.4,1.11E-20
27.5,1.12E-20,27.5,1.12E-20
27.6,1.09E-20,27.6,1.09E-20
27.7,1.16E-20,27.7,1.16E-20
27.8,1.16E-20,27.8,1.16E-20
27.9,1.23E-20,27.9,1.23E-20
28,1.14E-20,28,1.14E-20
28.1,1.14E-20,28.1,1.14E-20
28.2,1.24E-20,28.2,1.24E-20
28.3,1.22E-20,28.3,1.22E-20
28.4,1.24E-20,28.4,1.24E-20
28.5,1.32E-20,28.5,1.32E-20
28.6,1.29E-20,28.6,1.29E-20
28.7,1.24E-20,28.7,1.24E-20
28.8,1.22E-20,28.8,1.22E-20
28.9,1.42E-20,28.9,1.42E-20
29,1.48E-20,29,1.48E-20
29.1,1.34E-20,29.1,1.34E-20
29.2,1.21E-20,29.2,1.21E-20
29.3,1.44E-20,29.3,1.44E-20
29.4,1.40E-20,29.4,1.40E-20
29.5,1.42E-20,29.5,1.42E-20
29.6,1.67E-20,29.6,1.67E-20
29.7,1.28E-20,29.7,1.28E-20
29.8,1.47E-20,29.8,1.47E-20
29.9,1.53E-20,29.9,1.53E-20
30,1.40E-20,30,1.40E-20
30.1,1.70E-20,30.1,1.70E-20
30.2,1.90E-20,30.2,1.90E-20
30.3,1.53E-20,30.3,1.54E-20
30.4,1.26E-20,30.4,1.26E-20
30.5,1.44E-20,30.5,1.44E-20
30.6,2.04E-20,30.6,2.04E-20
30.7,1.79E-20,30.7,1.79E-20
30.8,1.67E-20,30.8,1.67E-20
30.9,1.78E-20,30.9,1.78E-20
31,1.05E-20,31,1.05E-20
31.1,2.47E-20,31.1,2.47E-20
31.2,2.00E-20,31.2,2.00E-20
31.3,1.68E-20,31.3,1.68E-20
31.4,2.01E-20,31.4,2.01E-20
31.5,1.50E-20,31.5,1.50E-20
31.6,2.40E-20,31.6,2.40E-20
31.7,1.54E-20,31.7,1.54E-20
31.8,1.74E-20,31.8,1.74E-20
31.9,3.82E-20,31.9,3.82E-20
32,1.29E-20,32,1.29E-20
32.1,2.08E-20,32.1,2.08E-20
32.2,2.21E-20,32.2,2.21E-20
32.3,2.56E-20,32.3,2.56E-20
32.4,6.70E-21,32.4,6.70E-21
32.5,5.64E-20,32.5,5.64E-20
32.6,2.83E-20,32.6,2.83E-20
32.7,3.54E-21,32.7,3.55E-21
32.8,4.55E-20,32.8,4.55E-20
32.9,2.83E-20,32.9,2.83E-20
33,3.39E-20,33,3.39E-20
33.1,2.80E-20,33.1,2.80E-20
33.2,1.38E-20,33.2,1.38E-20
33.3,2.94E-20,33.3,2.95E-20
33.4,1.02E-20,33.4,1.02E-20
33.5,5.62E-20,33.5,5.62E-20
33.6,6.38E-20,33.6,6.38E-20
33.7,9.65E-20,33.7,9.65E-20
33.8,4.91E-21,33.8,4.91E-21
33.9,3.34E-20,33.9,3.34E-20
34,8.57E-20,34,8.57E-20
34.1,1.42E-20,34.1,1.42E-20
34.2,1.60E-19,34.2,1.60E-19
34.3,1.20E-19,34.3,1.20E-19
34.4,6.08E-20,34.4,6.08E-20
34.5,1.52E-19,34.5,1.52E-19
34.6,3.88E-20,34.6,3.88E-20
34.7,1.09E-19,34.7,1.09E-19
34.8,5.24E-20,34.8,5.24E-20
34.9,7.56E-20,34.9,7.56E-20
35,3.99E-20,35,3.99E-20
35.1,9.51E-20,35.1,9.51E-20
35.2,7.75E-21,35.2,7.74E-21
35.3,4.82E-20,35.3,4.82E-20
35.4,7.04E-20,35.4,7.04E-20
35.5,1.29E-19,35.5,1.29E-19
35.6,1.62E-19,35.6,1.61E-19
35.7,4.32E-20,35.7,4.32E-20
35.8,6.92E-20,35.8,6.92E-20
35.9,7.99E-20,35.9,7.99E-20
36,2.99E-19,36,2.99E-19
36.1,6.59E-19,36.1,6.59E-19
36.2,6.83E-19,36.2,6.83E-19
36.3,4.87E-19,36.3,4.86E-19
36.4,7.43E-19,36.4,7.43E-19
36.5,2.11E-18,36.5,2.11E-18
36.6,1.15E-18,36.6,1.15E-18
36.7,1.55E-18,36.7,1.55E-18
36.8,4.52E-18,36.8,4.52E-18
36.9,4.91E-18,36.9,4.90E-18
37,2.31E-18,37,2.31E-18
37.1,3.21E-21,37.1,3.21E-21
37.2,2.01E-18,37.2,2.01E-18
37.3,5.10E-18,37.3,5.10E-18
37.4,8.73E-19,37.4,8.73E-19
37.5,1.02E-18,37.5,1.02E-18
37.6,3.89E-18,37.6,3.89E-18
37.7,9.95E-19,37.7,9.95E-19
37.8,5.99E-19,37.8,5.99E-19
37.9,3.23E-18,37.9,3.23E-18
38,8.72E-18,38,8.73E-18
38.1,7.06E-18,38.1,7.06E-18
38.2,4.33E-18,38.2,4.33E-18
38.3,3.50E-18,38.3,3.50E-18
38.4,5.35E-18,38.4,5.35E-18
38.5,2.12E-18,38.5,2.12E-18
38.6,5.83E-18,38.6,5.83E-18
38.7,1.05E-17,38.7,1.05E-17
38.8,1.33E-17,38.8,1.33E-17
38.9,2.58E-17,38.9,2.58E-17
39,5.75E-18,39,5.75E-18
39.1,9.85E-18,39.1,9.84E-18
39.2,1.48E-17,39.2,1.48E-17
39.3,1.18E-18,39.3,1.18E-18
39.4,2.03E-17,39.4,2.03E-17
39.5,3.69E-17,39.5,3.69E-17
39.6,2.01E-17,39.6,2.01E-17
39.7,1.22E-17,39.7,1.22E-17
39.8,1.23E-17,39.8,1.23E-17
39.9,1.19E-17,39.9,1.19E-17
40,8.49E-18,40,8.49E-18
40.1,6.67E-17,40.1,6.67E-17
40.2,5.49E-18,40.2,5.49E-18
40.3,4.15E-17,40.3,4.15E-17
40.4,1.08E-17,40.4,1.08E-17
40.5,1.16E-19,40.5,1.16E-19
40.6,1.23E-16,40.6,1.23E-16
40.7,8.54E-17,40.7,8.54E-17
40.8,4.45E-17,40.8,4.45E-17
40.9,4.00E-17,40.9,4.00E-17
41,1.40E-16,41,1.40E-16
41.1,9.32E-17,41.1,9.32E-17
41.2,7.12E-17,41.2,7.12E-17
41.3,2.15E-16,41.3,2.15E-16
41.4,3.84E-16,41.4,3.84E-16
41.5,2.43E-16,41.5,2.43E-16
41.6,1.28E-16,41.6,1.28E-16
41.7,3.23E-17,41.7,3.23E-17
41.8,3.18E-16,41.8,3.18E-16
41.9,1.02E-16,41.9,1.02E-16
42,1.65E-16,42,1.65E-16
42.1,7.83E-17,42.1,7.82E-17
42.2,4.01E-17,42.2,4.00E-17
42.3,2.12E-16,42.3,2.12E-16
42.4,4.65E-16,42.4,4.65E-16
42.5,1.37E-16,42.5,1.37E-16
42.6,1.69E-16,42.6,1.69E-16
42.7,8.11E-16,42.7,8.11E-16
42.8,1.27E-15,42.8,1.27E-15
42.9,5.61E-16,42.9,5.61E-16
43,2.03E-15,43,2.03E-15
43.1,2.59E-15,43.1,2.59E-15
43.2,6.25E-16,43.2,6.25E-16
43.3,7.52E-16,43.3,7.52E-16
43.4,1.85E-15,43.4,1.85E-15
43.5,4.69E-17,43.5,4.69E-17
43.6,1.97E-15,43.6,1.97E-15
43.7,1.89E-15,43.7,1.89E-15
43.8,1.84E-15,43.8,1.84E-15
43.9,6.83E-15,43.9,6.83E-15
44,2.23E-15,44,2.23E-15
44.1,4.44E-15,44.1,4.44E-15
44.2,1.06E-14,44.2,1.06E-14
44.3,3.82E-16,44.3,3.82E-16
44.4,5.75E-15,44.4,5.75E-15
44.5,8.90E-15,44.5,8.90E-15
44.6,1.56E-15,44.6,1.56E-15
44.7,9.79E-15,44.7,9.79E-15
44.8,4.56E-15,44.8,4.56E-15
44.9,3.62E-15,44.9,3.62E-15
45,8.85E-15,45,8.85E-15
45.1,8.14E-15,45.1,8.14E-15
45.2,2.73E-15,45.2,2.73E-15
45.3,3.12E-15,45.3,3.12E-15
45.4,1.00E-14,45.4,1.00E-14
45.5,7.16E-16,45.5,7.16E-16
45.6,1.33E-14,45.6,1.33E-14
45.7,1.33E-14,45.7,1.33E-14
45.8,2.01E-14,45.8,2.01E-14
45.9,1.91E-14,45.9,1.91E-14
46,3.36E-14,46,3.36E-14
46.1,1.59E-14,46.1,1.59E-14
46.2,6.01E-15,46.2,6.01E-15
46.3,1.36E-15,46.3,1.36E-15
46.4,2.39E-15,46.4,2.39E-15
46.5,3.31E-14,46.5,3.31E-14
46.6,2.52E-14,46.6,2.52E-14
46.7,2.00E-14,46.7,2.00E-14
46.8,5.28E-14,46.8,5.28E-14
46.9,1.86E-14,46.9,1.86E-14
47,8.43E-14,47,8.43E-14
47.1,3.64E-15,47.1,3.63E-15
47.2,2.43E-14,47.2,2.44E-14
47.3,1.13E-15,47.3,1.13E-15
47.4,3.08E-15,47.4,3.08E-15
47.5,1.73E-15,47.5,1.73E-15
47.6,1.21E-15,47.6,1.21E-15
47.7,3.40E-15,47.7,3.40E-15
47.8,5.77E-15,47.8,5.77E-15
47.9,4.39E-15,47.9,4.39E-15
48,8.18E-15,48,8.18E-15
48.1,4.77E-15,48.1,4.77E-15
48.2,8.60E-18,48.2,8.59E-18
48.3,6.33E-16,48.3,6.33E-16
48.4,1.06E-15,48.4,1.06E-15
48.5,7.60E-16,48.5,7.60E-16
48.6,2.43E-16,48.6,2.43E-16
48.7,1.54E-16,48.7,1.54E-16
48.8,3.97E-17,48.8,3.97E-17
48.9,4.98E-17,48.9,4.98E-17
49,1.22E-17,49,1.22E-17
49.1,8.20E-18,49.1,8.20E-18
49.2,1.32E-18,49.2,1.32E-18
49.3,2.45E-19,49.3,2.44E-19
49.4,6.69E-19,49.4,6.69E-19
49.5,6.80E-19,49.5,6.81E-19
49.6,3.58E-19,49.6,3.58E-19
49.7,2.29E-19,49.7,2.29E-19
49.8,2.00E-19,49.8,2.00E-19
49.9,2.95E-19,49.9,2.95E-19
50,2.09E-19,50,2.09E-19
50.1,2.34E-19,50.1,2.34E-19
50.2,2.41E-19,50.2,2.41E-19
50.3,2.43E-19,50.3,2.43E-19
50.4,2.46E-19,50.4,2.46E-19
50.5,2.49E-19,50.5,2.49E-19
50.6,2.52E-19,50.6,2.52E-19
50.7,2.53E-19,50.7,2.53E-19
50.8,2.41E-19,50.8,2.41E-19
50.9,3.19E-19,50.9,3.19E-19
51,4.23E-19,51,4.23E-19
51.1,4.28E-19,51.1,4.28E-19
51.2,5.91E-21,51.2,5.91E-21
51.3,3.36E-18,51.3,3.36E-18
51.4,9.39E-18,51.4,9.39E-18
51.5,6.74E-18,51.5,6.74E-18
51.6,2.31E-17,51.6,2.31E-17
51.7,3.01E-16,51.7,3.01E-16
51.8,4.29E-16,51.8,4.29E-16
51.9,1.01E-16,51.9,1.01E-16
52,4.92E-16,52,4.92E-16
52.1,6.42E-16,52.1,6.42E-16
52.2,1.75E-15,52.2,1.75E-15
52.3,7.70E-15,52.3,7.70E-15
52.4,1.56E-14,52.4,1.56E-14
52.5,1.86E-14,52.5,1.86E-14
52.6,1.46E-14,52.6,1.46E-14
52.7,5.16E-14,52.7,5.16E-14
52.8,8.26E-16,52.8,8.26E-16
52.9,1.04E-14,52.9,1.04E-14
53,2.38E-14,53,2.38E-14
53.1,3.05E-13,53.1,3.05E-13
53.2,1.16E-12,53.2,1.16E-12
53.3,1.31E-12,53.3,1.31E-12
53.4,8.57E-13,53.4,8.57E-13
53.5,5.81E-12,53.5,5.81E-12
53.6,1.03E-11,53.6,1.03E-11
