Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.73E-22,0,1.74E-22
0.1,3.46E-22,0.1,3.48E-22
0.2,3.46E-22,0.2,3.48E-22
0.3,3.46E-22,0.3,3.48E-22
0.4,3.46E-22,0.4,3.48E-22
0.5,3.46E-22,0.5,3.48E-22
0.6,3.46E-22,0.6,3.48E-22
0.7,3.46E-22,0.7,3.48E-22
0.8,3.46E-22,0.8,3.48E-22
0.9,3.46E-22,0.9,3.48E-22
1,3.46E-22,1,3.48E-22
1.1,3.47E-22,1.1,3.49E-22
1.2,3.47E-22,1.2,3.49E-22
1.3,3.47E-22,1.3,3.49E-22
1.4,3.47E-22,1.4,3.49E-22
1.5,3.47E-22,1.5,3.49E-22
1.6,3.47E-22,1.6,3.49E-22
1.7,3.47E-22,1.7,3.49E-22
1.8,3.48E-22,1.8,3.50E-22
1.9,3.48E-22,1.9,3.50E-22
2,3.48E-22,2,3.50E-22
2.1,3.48E-22,2.1,3.50E-22
2.2,3.48E-22,2.2,3.50E-22
2.3,3.49E-22,2.3,3.51E-22
2.4,3.49E-22,2.4,3.51E-22
2.5,3.49E-22,2.5,3.51E-22
2.6,3.49E-22,2.6,3.51E-22
2.7,3.50E-22,2.7,3.52E-22
2.8,3.50E-22,2.8,3.52E-22
2.9,3.50E-22,2.9,3.52E-22
3,3.50E-22,3,3.53E-22
3.1,3.51E-22,3.1,3.53E-22
3.2,3.51E-22,3.2,3.53E-22
3.3,3.51E-22,3.3,3.54E-22
3.4,3.52E-22,3.4,3.54E-22
3.5,3.52E-22,3.5,3.54E-22
3.6,3.53E-22,3.6,3.55E-22
3.7,3.53E-22,3.7,3.55E-22
3.8,3.53E-22,3.8,3.55E-22
3.9,3.54E-22,3.9,3.56E-22
4,3.54E-22,4,3.56E-22
4.1,3.55E-22,4.1,3.57E-22
4.2,3.55E-22,4.2,3.57E-22
4.3,3.55E-22,4.3,3.57E-22
4.4,3.56E-22,4.4,3.58E-22
4.5,3.56E-22,4.5,3.58E-22
4.6,3.57E-22,4.6,3.59E-22
4.7,3.57E-22,4.7,3.59E-22
4.8,3.58E-22,4.8,3.60E-22
4.9,3.58E-22,4.9,3.60E-22
5,3.59E-22,5,3.61E-22
5.1,3.59E-22,5.1,3.61E-22
5.2,3.60E-22,5.2,3.62E-22
5.3,3.60E-22,5.3,3.63E-22
5.4,3.61E-22,5.4,3.63E-22
5.5,3.62E-22,5.5,3.64E-22
5.6,3.62E-22,5.6,3.64E-22
5.7,3.63E-22,5.7,3.65E-22
5.8,3.63E-22,5.8,3.65E-22
5.9,3.64E-22,5.9,3.66E-22
6,3.65E-22,6,3.67E-22
6.1,3.65E-22,6.1,3.67E-22
6.2,3.66E-22,6.2,3.68E-22
6.3,3.67E-22,6.3,3.69E-22
6.4,3.67E-22,6.4,3.69E-22
6.5,3.68E-22,6.5,3.70E-22
6.6,3.69E-22,6.6,3.71E-22
6.7,3.69E-22,6.7,3.72E-22
6.8,3.70E-22,6.8,3.72E-22
6.9,3.71E-22,6.9,3.73E-22
7,3.72E-22,7,3.74E-22
7.1,3.73E-22,7.1,3.75E-22
7.2,3.73E-22,7.2,3.75E-22
7.3,3.74E-22,7.3,3.76E-22
7.4,3.75E-22,7.4,3.77E-22
7.5,3.76E-22,7.5,3.78E-22
7.6,3.77E-22,7.6,3.79E-22
7.7,3.77E-22,7.7,3.80E-22
7.8,3.78E-22,7.8,3.80E-22
7.9,3.79E-22,7.9,3.81E-22
8,3.80E-22,8,3.82E-22
8.1,3.81E-22,8.1,3.83E-22
8.2,3.82E-22,8.2,3.84E-22
8.3,3.83E-22,8.3,3.85E-22
8.4,3.84E-22,8.4,3.86E-22
8.5,3.85E-22,8.5,3.87E-22
8.6,3.86E-22,8.6,3.88E-22
8.7,3.87E-22,8.7,3.89E-22
8.8,3.88E-22,8.8,3.90E-22
8.9,3.89E-22,8.9,3.91E-22
9,3.90E-22,9,3.92E-22
9.1,3.91E-22,9.1,3.93E-22
9.2,3.92E-22,9.2,3.94E-22
9.3,3.93E-22,9.3,3.95E-22
9.4,3.94E-22,9.4,3.96E-22
9.5,3.95E-22,9.5,3.98E-22
9.6,3.97E-22,9.6,3.99E-22
9.7,3.98E-22,9.7,4.00E-22
9.8,3.99E-22,9.8,4.01E-22
9.9,4.00E-22,9.9,4.02E-22
10,4.01E-22,10,4.03E-22
10.1,4.03E-22,10.1,4.05E-22
10.2,4.04E-22,10.2,4.06E-22
10.3,4.05E-22,10.3,4.07E-22
10.4,4.06E-22,10.4,4.08E-22
10.5,4.08E-22,10.5,4.10E-22
10.6,4.09E-22,10.6,4.11E-22
10.7,4.10E-22,10.7,4.12E-22
10.8,4.12E-22,10.8,4.14E-22
10.9,4.13E-22,10.9,4.15E-22
11,4.14E-22,11,4.17E-22
11.1,4.16E-22,11.1,4.18E-22
11.2,4.17E-22,11.2,4.19E-22
11.3,4.19E-22,11.3,4.21E-22
11.4,4.20E-22,11.4,4.22E-22
11.5,4.22E-22,11.5,4.24E-22
11.6,4.23E-22,11.6,4.25E-22
11.7,4.25E-22,11.7,4.27E-22
11.8,4.26E-22,11.8,4.28E-22
11.9,4.28E-22,11.9,4.30E-22
12,4.29E-22,12,4.31E-22
12.1,4.31E-22,12.1,4.33E-22
12.2,4.32E-22,12.2,4.35E-22
12.3,4.34E-22,12.3,4.36E-22
12.4,4.36E-22,12.4,4.38E-22
12.5,4.37E-22,12.5,4.40E-22
12.6,4.39E-22,12.6,4.41E-22
12.7,4.41E-22,12.7,4.43E-22
12.8,4.43E-22,12.8,4.45E-22
12.9,4.44E-22,12.9,4.47E-22
13,4.46E-22,13,4.48E-22
13.1,4.48E-22,13.1,4.50E-22
13.2,4.50E-22,13.2,4.52E-22
13.3,4.52E-22,13.3,4.54E-22
13.4,4.54E-22,13.4,4.56E-22
13.5,4.56E-22,13.5,4.58E-22
13.6,4.57E-22,13.6,4.60E-22
13.7,4.59E-22,13.7,4.62E-22
13.8,4.61E-22,13.8,4.64E-22
13.9,4.63E-22,13.9,4.66E-22
14,4.65E-22,14,4.68E-22
14.1,4.68E-22,14.1,4.70E-22
14.2,4.70E-22,14.2,4.72E-22
14.3,4.72E-22,14.3,4.74E-22
14.4,4.74E-22,14.4,4.76E-22
14.5,4.76E-22,14.5,4.78E-22
14.6,4.78E-22,14.6,4.81E-22
14.7,4.80E-22,14.7,4.83E-22
14.8,4.83E-22,14.8,4.85E-22
14.9,4.85E-22,14.9,4.87E-22
15,4.87E-22,15,4.90E-22
15.1,4.90E-22,15.1,4.92E-22
15.2,4.92E-22,15.2,4.94E-22
15.3,4.94E-22,15.3,4.97E-22
15.4,4.97E-22,15.4,4.99E-22
15.5,4.99E-22,15.5,5.02E-22
15.6,5.02E-22,15.6,5.04E-22
15.7,5.04E-22,15.7,5.07E-22
15.8,5.07E-22,15.8,5.09E-22
15.9,5.10E-22,15.9,5.12E-22
16,5.12E-22,16,5.15E-22
16.1,5.15E-22,16.1,5.17E-22
16.2,5.18E-22,16.2,5.20E-22
16.3,5.20E-22,16.3,5.23E-22
16.4,5.23E-22,16.4,5.25E-22
16.5,5.26E-22,16.5,5.28E-22
16.6,5.29E-22,16.6,5.31E-22
16.7,5.31E-22,16.7,5.34E-22
16.8,5.34E-22,16.8,5.37E-22
16.9,5.37E-22,16.9,5.40E-22
17,5.40E-22,17,5.43E-22
17.1,5.43E-22,17.1,5.46E-22
17.2,5.46E-22,17.2,5.49E-22
17.3,5.49E-22,17.3,5.52E-22
17.4,5.53E-22,17.4,5.55E-22
17.5,5.56E-22,17.5,5.58E-22
17.6,5.59E-22,17.6,5.61E-22
17.7,5.62E-22,17.7,5.65E-22
17.8,5.66E-22,17.8,5.68E-22
17.9,5.69E-22,17.9,5.71E-22
18,5.72E-22,18,5.75E-22
18.1,5.76E-22,18.1,5.78E-22
18.2,5.79E-22,18.2,5.82E-22
18.3,5.83E-22,18.3,5.85E-22
18.4,5.86E-22,18.4,5.89E-22
18.5,5.90E-22,18.5,5.92E-22
18.6,5.93E-22,18.6,5.96E-22
18.7,5.97E-22,18.7,6.00E-22
18.8,6.01E-22,18.8,6.03E-22
18.9,6.05E-22,18.9,6.07E-22
19,6.09E-22,19,6.11E-22
19.1,6.12E-22,19.1,6.15E-22
19.2,6.16E-22,19.2,6.19E-22
19.3,6.20E-22,19.3,6.23E-22
19.4,6.24E-22,19.4,6.27E-22
19.5,6.29E-22,19.5,6.31E-22
19.6,6.33E-22,19.6,6.35E-22
19.7,6.37E-22,19.7,6.39E-22
19.8,6.41E-22,19.8,6.44E-22
19.9,6.46E-22,19.9,6.48E-22
20,6.50E-22,20,6.52E-22
20.1,6.54E-22,20.1,6.57E-22
20.2,6.59E-22,20.2,6.61E-22
20.3,6.63E-22,20.3,6.66E-22
20.4,6.68E-22,20.4,6.70E-22
20.5,6.73E-22,20.5,6.75E-22
20.6,6.77E-22,20.6,6.80E-22
20.7,6.83E-22,20.7,6.85E-22
20.8,6.86E-22,20.8,6.89E-22
20.9,6.92E-22,20.9,6.95E-22
21,6.96E-22,21,6.99E-22
21.1,7.02E-22,21.1,7.05E-22
21.2,7.07E-22,21.2,7.10E-22
21.3,7.12E-22,21.3,7.14E-22
21.4,7.17E-22,21.4,7.20E-22
21.5,7.24E-22,21.5,7.26E-22
21.6,7.27E-22,21.6,7.30E-22
21.7,7.35E-22,21.7,7.38E-22
21.8,7.38E-22,21.8,7.40E-22
21.9,7.46E-22,21.9,7.48E-22
22,7.49E-22,22,7.51E-22
22.1,7.58E-22,22.1,7.61E-22
22.2,7.62E-22,22.2,7.64E-22
22.3,7.69E-22,22.3,7.72E-22
22.4,7.74E-22,22.4,7.76E-22
22.5,7.80E-22,22.5,7.82E-22
22.6,7.87E-22,22.6,7.89E-22
22.7,7.93E-22,22.7,7.95E-22
22.8,8.01E-22,22.8,8.04E-22
22.9,8.04E-22,22.9,8.06E-22
23,8.12E-22,23,8.14E-22
23.1,8.19E-22,23.1,8.21E-22
23.2,8.25E-22,23.2,8.28E-22
23.3,8.34E-22,23.3,8.37E-22
23.4,8.38E-22,23.4,8.40E-22
23.5,8.48E-22,23.5,8.50E-22
23.6,8.48E-22,23.6,8.51E-22
23.7,8.65E-22,23.7,8.68E-22
23.8,8.64E-22,23.8,8.67E-22
23.9,8.81E-22,23.9,8.83E-22
24,8.79E-22,24,8.82E-22
24.1,8.90E-22,24.1,8.92E-22
24.2,9.01E-22,24.2,9.04E-22
24.3,8.96E-22,24.3,8.99E-22
24.4,9.30E-22,24.4,9.33E-22
24.5,9.08E-22,24.5,9.11E-22
24.6,9.29E-22,24.6,9.31E-22
24.7,9.42E-22,24.7,9.45E-22
24.8,9.53E-22,24.8,9.55E-22
24.9,9.44E-22,24.9,9.46E-22
25,9.78E-22,25,9.81E-22
25.1,9.61E-22,25.1,9.64E-22
25.2,9.87E-22,25.2,9.90E-22
25.3,9.83E-22,25.3,9.86E-22
25.4,1.02E-21,25.4,1.03E-21
25.5,9.81E-22,25.5,9.83E-22
25.6,1.05E-21,25.6,1.05E-21
25.7,9.90E-22,25.7,9.93E-22
25.8,1.05E-21,25.8,1.06E-21
25.9,1.03E-21,25.9,1.03E-21
26,1.10E-21,26,1.10E-21
26.1,1.06E-21,26.1,1.06E-21
26.2,1.09E-21,26.2,1.09E-21
26.3,1.05E-21,26.3,1.05E-21
26.4,1.12E-21,26.4,1.12E-21
26.5,1.14E-21,26.5,1.14E-21
26.6,1.10E-21,26.6,1.10E-21
26.7,1.13E-21,26.7,1.13E-21
26.8,1.17E-21,26.8,1.17E-21
26.9,1.05E-21,26.9,1.05E-21
27,1.33E-21,27,1.34E-21
27.1,1.05E-21,27.1,1.06E-21
27.2,1.27E-21,27.2,1.28E-21
27.3,1.15E-21,27.3,1.16E-21
27.4,1.19E-21,27.4,1.19E-21
27.5,1.22E-21,27.5,1.22E-21
27.6,1.33E-21,27.6,1.33E-21
27.7,1.27E-21,27.7,1.27E-21
27.8,1.24E-21,27.8,1.24E-21
27.9,1.23E-21,27.9,1.23E-21
28,1.32E-21,28,1.33E-21
28.1,1.29E-21,28.1,1.30E-21
28.2,1.29E-21,28.2,1.30E-21
28.3,1.45E-21,28.3,1.45E-21
28.4,1.35E-21,28.4,1.35E-21
28.5,1.04E-21,28.5,1.05E-21
28.6,1.66E-21,28.6,1.66E-21
28.7,1.34E-21,28.7,1.34E-21
28.8,1.74E-21,28.8,1.74E-21
28.9,1.19E-21,28.9,1.19E-21
29,1.30E-21,29,1.31E-21
29.1,1.57E-21,29.1,1.57E-21
29.2,1.72E-21,29.2,1.72E-21
29.3,1.30E-21,29.3,1.31E-21
29.4,2.13E-21,29.4,2.13E-21
29.5,1.29E-21,29.5,1.29E-21
29.6,1.43E-21,29.6,1.43E-21
29.7,1.34E-21,29.7,1.35E-21
29.8,1.79E-21,29.8,1.80E-21
29.9,1.85E-21,29.9,1.85E-21
30,1.50E-21,30,1.50E-21
30.1,2.27E-21,30.1,2.27E-21
30.2,2.06E-21,30.2,2.06E-21
30.3,2.45E-21,30.3,2.45E-21
30.4,1.52E-21,30.4,1.53E-21
30.5,2.62E-21,30.5,2.62E-21
30.6,3.23E-21,30.6,3.24E-21
30.7,6.37E-22,30.7,6.36E-22
30.8,3.10E-21,30.8,3.11E-21
30.9,1.79E-21,30.9,1.79E-21
31,1.67E-21,31,1.68E-21
31.1,3.42E-21,31.1,3.42E-21
31.2,1.56E-21,31.2,1.56E-21
31.3,4.81E-22,31.3,4.81E-22
31.4,2.03E-21,31.4,2.04E-21
31.5,4.90E-21,31.5,4.90E-21
31.6,3.73E-21,31.6,3.74E-21
31.7,7.03E-21,31.7,7.02E-21
31.8,1.67E-21,31.8,1.68E-21
31.9,5.10E-21,31.9,5.11E-21
32,1.42E-21,32,1.41E-21
32.1,2.88E-21,32.1,2.89E-21
32.2,2.85E-21,32.2,2.85E-21
32.3,5.73E-22,32.3,5.72E-22
32.4,2.78E-21,32.4,2.78E-21
32.5,9.82E-21,32.5,9.84E-21
32.6,3.56E-22,32.6,3.57E-22
32.7,2.14E-20,32.7,2.14E-20
32.8,2.77E-21,32.8,2.78E-21
32.9,2.58E-20,32.9,2.57E-20
33,1.85E-20,33,1.85E-20
33.1,1.92E-20,33.1,1.92E-20
33.2,2.88E-22,33.2,2.85E-22
33.3,1.29E-20,33.3,1.29E-20
33.4,1.16E-20,33.4,1.16E-20
33.5,1.75E-22,33.5,1.75E-22
33.6,9.42E-22,33.6,9.35E-22
33.7,5.66E-20,33.7,5.66E-20
33.8,1.38E-20,33.8,1.38E-20
33.9,5.19E-20,33.9,5.19E-20
34,6.07E-20,34,6.07E-20
34.1,2.57E-20,34.1,2.58E-20
34.2,3.91E-20,34.2,3.91E-20
34.3,4.83E-20,34.3,4.84E-20
34.4,6.81E-20,34.4,6.82E-20
34.5,1.73E-19,34.5,1.73E-19
34.6,1.91E-19,34.6,1.91E-19
34.7,3.30E-19,34.7,3.30E-19
34.8,2.35E-19,34.8,2.35E-19
34.9,2.28E-19,34.9,2.28E-19
35,9.34E-20,35,9.33E-20
35.1,3.74E-20,35.1,3.75E-20
35.2,1.94E-19,35.2,1.93E-19
35.3,9.89E-20,35.3,9.90E-20
35.4,5.01E-20,35.4,5.00E-20
35.5,5.42E-19,35.5,5.42E-19
35.6,8.16E-19,35.6,8.16E-19
35.7,4.78E-19,35.7,4.79E-19
