Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,4.13E-22,0,4.14E-22
0.1,8.26E-22,0.1,8.29E-22
0.2,8.26E-22,0.2,8.29E-22
0.3,8.26E-22,0.3,8.29E-22
0.4,8.26E-22,0.4,8.29E-22
0.5,8.26E-22,0.5,8.29E-22
0.6,8.26E-22,0.6,8.29E-22
0.7,8.26E-22,0.7,8.29E-22
0.8,8.26E-22,0.8,8.29E-22
0.9,8.26E-22,0.9,8.29E-22
1,8.26E-22,1,8.29E-22
1.1,8.26E-22,1.1,8.29E-22
1.2,8.26E-22,1.2,8.29E-22
1.3,8.26E-22,1.3,8.29E-22
1.4,8.26E-22,1.4,8.29E-22
1.5,8.26E-22,1.5,8.29E-22
1.6,8.26E-22,1.6,8.29E-22
1.7,8.26E-22,1.7,8.29E-22
1.8,8.26E-22,1.8,8.29E-22
1.9,8.26E-22,1.9,8.29E-22
2,8.26E-22,2,8.29E-22
2.1,8.26E-22,2.1,8.29E-22
2.2,8.27E-22,2.2,8.30E-22
2.3,8.27E-22,2.3,8.30E-22
2.4,8.27E-22,2.4,8.30E-22
2.5,8.27E-22,2.5,8.30E-22
2.6,8.27E-22,2.6,8.30E-22
2.7,8.27E-22,2.7,8.30E-22
2.8,8.27E-22,2.8,8.30E-22
2.9,8.27E-22,2.9,8.30E-22
3,8.27E-22,3,8.30E-22
3.1,8.27E-22,3.1,8.30E-22
3.2,8.28E-22,3.2,8.31E-22
3.3,8.28E-22,3.3,8.31E-22
3.4,8.28E-22,3.4,8.31E-22
3.5,8.28E-22,3.5,8.31E-22
3.6,8.28E-22,3.6,8.31E-22
3.7,8.28E-22,3.7,8.31E-22
3.8,8.28E-22,3.8,8.31E-22
3.9,8.28E-22,3.9,8.31E-22
4,8.29E-22,4,8.32E-22
4.1,8.29E-22,4.1,8.32E-22
4.2,8.29E-22,4.2,8.32E-22
4.3,8.29E-22,4.3,8.32E-22
4.4,8.29E-22,4.4,8.32E-22
4.5,8.29E-22,4.5,8.32E-22
4.6,8.29E-22,4.6,8.32E-22
4.7,8.30E-22,4.7,8.33E-22
4.8,8.30E-22,4.8,8.33E-22
4.9,8.30E-22,4.9,8.33E-22
5,8.30E-22,5,8.33E-22
5.1,8.30E-22,5.1,8.33E-22
5.2,8.30E-22,5.2,8.34E-22
5.3,8.31E-22,5.3,8.34E-22
5.4,8.31E-22,5.4,8.34E-22
5.5,8.31E-22,5.5,8.34E-22
5.6,8.31E-22,5.6,8.34E-22
5.7,8.31E-22,5.7,8.34E-22
5.8,8.32E-22,5.8,8.35E-22
5.9,8.32E-22,5.9,8.35E-22
6,8.32E-22,6,8.35E-22
6.1,8.32E-22,6.1,8.35E-22
6.2,8.32E-22,6.2,8.35E-22
6.3,8.33E-22,6.3,8.36E-22
6.4,8.33E-22,6.4,8.36E-22
6.5,8.33E-22,6.5,8.36E-22
6.6,8.33E-22,6.6,8.36E-22
6.7,8.33E-22,6.7,8.37E-22
6.8,8.34E-22,6.8,8.37E-22
6.9,8.34E-22,6.9,8.37E-22
7,8.34E-22,7,8.37E-22
7.1,8.34E-22,7.1,8.37E-22
7.2,8.35E-22,7.2,8.38E-22
7.3,8.35E-22,7.3,8.38E-22
7.4,8.35E-22,7.4,8.38E-22
7.5,8.35E-22,7.5,8.38E-22
7.6,8.35E-22,7.6,8.39E-22
7.7,8.36E-22,7.7,8.39E-22
7.8,8.36E-22,7.8,8.39E-22
7.9,8.36E-22,7.9,8.39E-22
8,8.36E-22,8,8.40E-22
8.1,8.37E-22,8.1,8.40E-22
8.2,8.37E-22,8.2,8.40E-22
8.3,8.37E-22,8.3,8.40E-22
8.4,8.37E-22,8.4,8.41E-22
8.5,8.38E-22,8.5,8.41E-22
8.6,8.38E-22,8.6,8.41E-22
8.7,8.38E-22,8.7,8.41E-22
8.8,8.38E-22,8.8,8.42E-22
